ccn,hospital_name,state,previous_status,disposition,issue,next_step,pointer_url,pointer_status,pointer_checked_at,pointer_declared_url,mrf_url,mrf_status,mrf_final_url,identity,identity_basis,header_name,header_location,header_state,date,version,metadata,file_checked_at,pointer_sha256,file_sha256,adjudicated,note
161346,SIOUX CENTER HEALTH,IA,pointer-or-domain-review,publisher-issue,template-version-unrecognized,Publisher inquiry: confirm which CMS data dictionary version the file implements; recheck on their reply,http://www.avera.org/cms-hpt.txt,403,2026-09-09T10:07:29.048Z,,https://www.avera.org/app/files/public/585a0692-fcbb-4692-9f7b-1796a5fa2559/420796764_sioux-center-health_standardcharges.csv,206,https://www.avera.org/app/files/public/585a0692-fcbb-4692-9f7b-1796a5fa2559/420796764_sioux-center-health_standardcharges.csv,corroborated,file-name-and-address,Sioux Center Health,Sioux Center Health,IA,2026-04-01,4.0.0,date-within-365-days-version-unverified,2026-09-09T13:11:15.177Z,,786a2b2ffa21f023587b93216779991026bea2c2d7ade2f2d1f443345c42d972,,Declared template version 4.0.0 is not a recognized CMS data dictionary version; facility identity and the 2026-04-01 update date are corroborated via browser retrieval.
161350,STEWART MEMORIAL COMMUNITY HOSPITAL,IA,publisher-date-review,publisher-issue,automated-file-access-denied,"Browser download attempt, then publisher whitelist request with the recorded denial evidence",https://stewartmemorial.org/cms-hpt.txt,403,2026-09-09T10:07:29.359Z,,https://www.stewartmemorial.org/wp-content/uploads/2025/12/420860039_Stewart-Memorial-Community-Hospital_StandardCharges.csv,403,,,,,,,,,,2026-09-09T10:07:29.458Z,,,,Automated retrieval denied while the earlier pass corroborated facility identity from this URL; not evidence of a missing file.
161351,AVERA HOLY FAMILY HOSPITAL,IA,pointer-or-domain-review,publisher-issue,template-version-unrecognized,Publisher inquiry: confirm which CMS data dictionary version the file implements; recheck on their reply,http://www.avera.org/cms-hpt.txt,403,2026-09-09T10:07:29.048Z,,https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv,206,https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv,corroborated,file-name-and-address,Avera Holy Family Hospital,Avera Holy Family ,IA,2026-04-01,4.0.0,date-within-365-days-version-unverified,2026-09-09T13:11:15.191Z,,af3cd5614c19d195dfcb5692694aab7e17c5d088056711aaaa2557a11de2f61f,,Declared template version 4.0.0 is not a recognized CMS data dictionary version; facility identity and the 2026-04-01 update date are corroborated via browser retrieval.
161359,BURGESS HEALTH CENTER,IA,file-access-review,publisher-issue,pointer-declared-file-404,Publisher inquiry to restore or replace the declared file; recheck after their update window,https://burgesshc.org/cms-hpt.txt,206,2026-09-09T10:07:29.822Z,,https://www.burgesshc.org/wp-content/uploads/2025/01/420859940_Burgess_StandardCharges.csv,404,https://burgesshc.b-cdn.net/wp-content/uploads/2026/07/420859940_Burgess-Health-Center_StandardCharges.csv,corroborated,file-name-and-address,Burgess Health Center,Burgess Health Center,IA,2026-03-31,3.0.0,date-within-365-days-version-3,2026-09-09T10:45:29.703Z,f194f545d096878fe115662bf6b0c2d39b53773eb8608981a1653300f1f4026a,ec22ada510c7ed7307cd5948ac18af68a2dca315824c9f9b55de3ac97fa23353,,The official pointer declares this file URL and it returns 404 on repeated checks; reproducible broken link.
161368,FLOYD VALLEY HEALTHCARE,IA,pointer-or-domain-review,publisher-issue,template-version-unrecognized,Publisher inquiry: confirm which CMS data dictionary version the file implements; recheck on their reply,http://www.avera.org/cms-hpt.txt,403,2026-09-09T10:07:29.048Z,,https://www.avera.org/app/files/public/718846f0-2571-438d-8c93-43650e7cefb8/420928451_floyd-valley-healthcare_standardcharges.csv,206,https://www.avera.org/app/files/public/718846f0-2571-438d-8c93-43650e7cefb8/420928451_floyd-valley-healthcare_standardcharges.csv,corroborated,file-name-and-address,Floyd Valley Healthcare,Floyd Valley Healthcare,IA,2026-04-01,4.0.0,date-within-365-days-version-unverified,2026-09-09T13:11:15.205Z,,2d1dc6d5e0737ee4afc108fad00a072feb08ca575cde31e0d056bda212278fc1,,Declared template version 4.0.0 is not a recognized CMS data dictionary version; facility identity and the 2026-04-01 update date are corroborated via browser retrieval.
170017,SUSAN B ALLEN MEMORIAL HOSPITAL,KS,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://www.sbamh.com/cms-hpt.txt,206,2026-09-09T10:07:30.525Z,,https://apim.services.craneware.com/api-pricing-transparency/api/public/8a15f8f47eb640c1696af37b6c70ac7c/charges/mrf,200,https://apim.services.craneware.com/api-pricing-transparency/api/public/8a15f8f47eb640c1696af37b6c70ac7c/charges/mrf,corroborated,file-name-and-address,Susan B Allen Memorial Hospital,Susan B Allen Memorial Hospital|Susan B Allen Memorial Hospital,KS,2025-05-27,2.0.0,date-over-365-days,2026-09-09T10:07:30.787Z,0feb9e46afb16543f3bc56fcabfc7b4fd6e8bb737026fda30e97b1bcd88aed4e,3ca065f07fe954d0567eb216d52ece5a938bbfe4b7852958a4743b989eb1e16b,,Same declared date 2025-05-27 observed again after the earlier check (2026-09-09T02:25:51.439Z).
170183,KANSAS SURGERY & RECOVERY CENTER,KS,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://irp.cdn-website.com/fa377abf/files/uploaded/cms-hpt202504.txt,206,2026-09-09T10:07:30.637Z,,https://irp.cdn-website.com/fa377abf/files/uploaded/481148580_kansas-surgery---recovery-center-llc_standardcharges.csv,206,https://irp.cdn-website.com/fa377abf/files/uploaded/481148580_kansas-surgery---recovery-center-llc_standardcharges.csv,corroborated,file-name-and-address,Kansas Surgery & Recovery Center LLC,Kansas Surgery & Recovery Center LLC,KS,2025-03-25,2.0.0,date-over-365-days,2026-09-09T10:07:30.859Z,bf21357d9298bbe28fbc3a7eab49128c657891d897b9ee894ee16281ee290bb6,1f448c213270bfa6677c52e343cecf21b486b3f4a0f8e1906798073e48ebd8a9,,Same declared date 2025-03-25 observed again after the earlier check (2026-09-09T01:48:19.708Z).
171321,MEADE DISTRICT HOSPITAL,KS,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://3293c1a2-894d-4ca5-9b72-fc018865f82e.usrfiles.com/ugd/3293c1_0c176796799b488382354a99e253f472.txt,206,2026-09-09T10:07:30.951Z,,https://a9a4b96f-06fd-48d5-afab-60ad79a55e97.filesusr.com/ugd/3293c1_b634e2c6081e4736bc6956dddef01d94.json?dn=480966086_Meade%20District%20Hospital_standardcharges%20(3).json,206,https://a9a4b96f-06fd-48d5-afab-60ad79a55e97.filesusr.com/ugd/3293c1_b634e2c6081e4736bc6956dddef01d94.json?dn=480966086_Meade%20District%20Hospital_standardcharges%20(3).json,corroborated,file-name-and-address,Meade District Hospital,Meade District Hospital,KS,2024-12-31,2.2.0,date-over-365-days,2026-09-09T10:07:31.143Z,b45448fe0eb5db4003ead4bf348ae83b09c7d2c6626ddb7fc3d520826fb053e4,0ba2088e3d1028a6a04fa36a8fd855ddab7dde1336f76054e0a5ba9f541b541e,,Same declared date 2024-12-31 observed again after the earlier check (2026-09-09T01:48:19.835Z).
171359,GREELEY COUNTY HEALTH SERVICES,KS,metadata-or-pointer-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",,,,,https://greeley.health/wp-content/uploads/2025/03/30-0078435-1285742536_GreeleyCountyHealthServices_standardcharges.csv,200,https://greeley.health/wp-content/uploads/2025/03/30-0078435-1285742536_GreeleyCountyHealthServices_standardcharges.csv,corroborated,file-name-and-address,Greeley County Health Services,GreeleyCountyHealthServices|Greeley County Health Services,KS,2025-01-14,2,date-over-365-days,2026-09-09T10:07:31.498Z,,9edbd2618facc1c4aa8dc2f68de80694d0fde5b7c6c111d9adf090c7fa2b6bfc,,Same declared date 2025-01-14 observed again after the earlier check (2026-09-09T01:48:19.521Z).
181309,CASEY COUNTY HOSPITAL,KY,identity-or-format-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://caseycountyhospital.com/cms-hpt.txt,206,2026-09-09T10:07:32.329Z,,https://www.caseycountyhospital.com/Content/Uploads/caseycountyhospital.com/files/061705652_Casey-County-Hospital_standardcharges(1).csv,206,https://www.caseycountyhospital.com/Content/Uploads/caseycountyhospital.com/files/061705652_Casey-County-Hospital_standardcharges(1).csv,corroborated,file-name-and-address,Casey County Hospital,Casey County Hospital,KY,2026-03-31,2.0.0,date-within-365-days-older-version,2026-09-09T10:07:32.616Z,8687e81e8c553c0864f2dd51a8a0e9184e8417504ae45b305f4c673a84386a10,41e16e5c6c5154e80d528f29d15126abc8a9344ce7d8d489c770f80caa183896,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
181321,WAYNE COUNTY HOSPITAL,KY,metadata-or-pointer-review,publisher-issue,pointer-declared-file-404,Publisher inquiry to restore or replace the declared file; recheck after their update window,https://waynehospital.org/cms-hpt.txt,206,2026-09-09T10:07:32.451Z,,https://waynehospital.org/files/galleries/610847215_Wayne-County-Hospital_standardcharges.csv,404,https://waynehospital.org/files/galleries/610847215_Wayne-County_Hospital_standardcharges.csv,corroborated,file-name-and-address,Wayne County Hospital,Wayne County Hospital,KY,2026-09-03,3.0.0,date-within-365-days-version-3,2026-09-09T10:45:32.070Z,5674fa29c83114a9b7c478d10ca006910d975b68e165fca4c2d8f4eb1503dcf9,efd064e5c4afcc91ed10741d6ca86cbf791c1a453ed5755ad2a9238a159b3c8f,,The official pointer declares this file URL and it returns 404 on repeated checks; reproducible broken link.
181325,JANE TODD CRAWFORD HOSPITAL,KY,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://janetoddhospital.com/cms-hpt.txt,206,2026-09-09T10:07:32.761Z,,https://www.janetoddhospital.com/Content/Uploads/janetoddhospital.com/files/204474637_Jane-Todd-Crawford-Hospital_standardcharges.csv,206,https://www.janetoddhospital.com/Content/Uploads/janetoddhospital.com/files/204474637_Jane-Todd-Crawford-Hospital_standardcharges.csv,corroborated,file-name-and-address,"Jane Todd Crawford Memorial Hospital, Inc.",Jane Todd Crawford Hospital,KY,2026-03-31,2.0.0,date-within-365-days-older-version,2026-09-09T10:07:32.975Z,665eda79938224c478eec81a8d42c11c4e494a419df57840a87039cfc4e8869b,a17b83894f1350bcf1040f02dd48e9ff38d9c091f8dc57fa5dbc0ecf03f3834c,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
181333,THE MEDICAL CENTER AT ALBANY,KY,file-access-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://medcenterhealth.org/cms-hpt.txt,200,2026-09-09T10:37:40.636Z,,https://medcenterhealth.org/charges/mca/,206,https://d2fdxbmd3bwjx.cloudfront.net/610920842_The-Medical-Center-at-Albany_20260501.0.zip,corroborated,file-name-and-address,610920842 - The Medical Center at Albany,The Medical Center at Albany,KY,2024-07-01,3.0.0,date-over-365-days,2026-09-09T14:41:46.273Z,a753f92586c31eb01a3422d8c8a51543ca3c23399dfc942d4719f3164ca3b9e2,2c188b233041e97cb6c07caf116b01d59b157141359c1ff54dd094766c2c89c8,,Declared date over 365 days at check time.
190034,ABBEVILLE GENERAL HOSPITAL,LA,pointer-or-domain-review,publisher-issue,file-published-no-machine-pointer,Publisher inquiry: ask the facility to publish a machine-readable pointer (cms-hpt.txt) alongside the file; the file itself is already verified,https://abbevillegeneral.com/cms-hpt.txt,404,2026-09-09T11:36:46.110Z,,https://abbevillegeneral.com/wp-content/uploads/720574846_abbeville-general-hospital_standardcharges.csv,206,https://abbevillegeneral.com/wp-content/uploads/720574846_abbeville-general-hospital_standardcharges.csv,corroborated,file-name-and-address,Abbeville General Hospital,Abbeville General Hospital,LA,2026-02-09,3.0.0,date-within-365-days-version-3,2026-09-09T16:09:00.043Z,,d09b027b32474d5db40a85d1fe67e916286bf86099de1912ec932a27ab51ee5d,,"File served on the facility's own site is current (2026-02-09, version 3.0.0) and its header matches the roster facility, but no machine-readable pointer declares it."
190044,ACADIA GENERAL HOSPITAL,LA,pointer-or-domain-review,publisher-issue,file-declares-conflicting-license-state,Publisher inquiry: ask the facility to correct the license_state field in the file header; recheck on their update,https://www.ochsner.org/cms-hpt.txt,206,2026-09-09T10:08:05.367Z,,https://ochsner-craft.s3.amazonaws.com/core/464958152_acadia-general-hospital-inc_standardcharges.csv.csv,206,https://ochsner-craft.s3.amazonaws.com/core/464958152_acadia-general-hospital-inc_standardcharges.csv.csv,license-state-conflict,exact-name-and-address-with-conflicting-license-state,"ACADIA GENERAL HOSPITAL, INC",OCHSNER ACADIA GENERAL HOSPITAL,CA,2026-04-01,3.0.0,,2026-09-09T10:45:09.068Z,15fe42c1275ca42c1611e524231948f78cf03843eacc03759c1a500459d65477,6774ae6ec38556e7cea98d1b814882c721e39aed2175ab33faf06a6960f8198e,,File header declares license state CA while the roster state is LA; the name and address match the roster exactly and the official pointer lists the file.
190160,GLENWOOD REGIONAL MEDICAL CENTER,LA,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://glenwoodregional.org/cms-hpt.txt,200,2026-09-09T10:07:33.324Z,,https://glenwoodregional.org/pricetransparency/994786140_GlenwoodRegionalMedicalCenter_standardcharges.csv,206,https://glenwoodregional.org/pricetransparency/994786140_GlenwoodRegionalMedicalCenter_standardcharges.csv,corroborated,file-name-and-address,HSA GLENWOOD LLC,Glenwood Regional Medical Center,LA,2025-03-19,2.0.0,date-over-365-days,2026-09-09T10:07:33.615Z,53788d233d620c87a9edad212ed7a87a5f1a81f2d6bcfac3cf936591cdaeff65,7e80d981d9b708a7d95d9c78dc16b1a89d4bf641db1105336cad5eeef02b90ee,,Same declared date 2025-03-19 observed again after the earlier check (2026-09-09T01:48:32.008Z).
190167,MERCY REGIONAL MEDICAL CENTER,LA,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://mercyregionalmedical.com/cms-hpt.txt,206,2026-09-09T10:07:33.413Z,,https://mercyregionalmedical.com/824681222_MERCY-REGIONAL-MEDICAL-CENTER_standardcharges.csv,206,https://mercyregionalmedical.com/824681222_MERCY-REGIONAL-MEDICAL-CENTER_standardcharges.csv,corroborated,file-name-and-address,MERCY REGIONAL MEDICAL CENTER,MERCY REGIONAL MEDICAL CENTER,LA,2026-02-02,2.0.0,date-within-365-days-older-version,2026-09-09T10:07:33.674Z,de863a42fcb624525d182aef27d72ad61f1e6f42bae34451458c2e2dfd37f0e4,878c64c2bbaeca0dfc82ee7763dda480dcbd7980c517c19002a394d3dded75d9,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
190190,"CALDWELL MEMORIAL HOSPITAL, INC",LA,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://mycaldwellmemorial.com/cms-hpt.txt,206,2026-09-09T10:07:33.509Z,,https://www.mycaldwellmemorial.com/wp-content/uploads/2020/12/720878037_caldwell-memorial-hospital_standardcharges.csv,206,https://www.mycaldwellmemorial.com/wp-content/uploads/2020/12/720878037_caldwell-memorial-hospital_standardcharges.csv,corroborated,file-name-and-address,Caldwell Memorial Hospital,Caldwell Memorial Hospital,LA,2024-06-27,2.0.0,date-over-365-days,2026-09-09T10:07:34.070Z,25a1cd0bb56c8cf3c9fb22c3acb82cc3718396fc482d4c9e05efb23ae79852c4,ebddd06e5cd768efda1affd4205d54d31d05df7575572d6198946374111672a7,,Same declared date 2024-06-27 observed again after the earlier check (2026-09-09T01:48:31.748Z).
190319,ALEXANDRIA HOSPITAL,LA,metadata-or-pointer-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://alexandriaer.com/cms-hpt.txt,200,2026-09-09T10:07:34.553Z,,https://www.alexandriaer.com/wp-content/uploads/2025/10/821295425_alexandria-hospital-llc_standardcharges-1in.csv,200,https://www.alexandriaer.com/wp-content/uploads/2025/10/821295425_alexandria-hospital-llc_standardcharges-1in.csv,corroborated-adjudicated,renamed-facility-pointer-label-and-roster-address,Alexandria Emergency Hospital,Alexandria Emergency Hospital,LA,2025-10-10,2.1.0,date-within-365-days-older-version,2026-09-09T10:45:49.396Z,ec47a96988fdfc6d3654eebec63018866b49650857a03f263665a753fd64481a,b901e9d818532ceace8afa6ea68cbf74f94fc8c32a3146e88b62c4bd7ce37162,renamed-facility-pointer-label-and-roster-address,Declared version 2.1.0 with a current date; publisher has not adopted the current CMS dictionary.
194074,SERENITY SPRINGS SPECIALTY HOSPITAL,LA,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://serenityhospital.com/cms-hpt.txt,206,2026-09-09T10:07:35.430Z,,https://rest.edit.site/filestorage-api-service/4a56fb3b641cb21ae28d316dd3efb637/price-transparency-tall-csv.csv,206,https://static-gcs.edit.site/users-files/4a56fb3b641cb21ae28d316dd3efb637/price-transparency-tall-csv.csv,corroborated,file-name-and-address,Solutions Medical Consulting LLC,Serenity Springs Specialty Hospital,LA,2024-10-14,2.0.0,date-over-365-days,2026-09-09T10:37:42.855Z,b4f3ae6c9ca8af3344b6ac615c2d9f5743d688becaedb08994eb57e870fea242,ac0db4227954ea0a33b94b7ca3858d91366f659034d9082152a002294a2814b4,,Same declared date 2024-10-14 observed again after the earlier check (2026-09-09T02:23:47.588Z).
194102,"BEACON BEHAVIORAL HOSPITAL, LLC",LA,publisher-template-review,publisher-issue,automated-file-access-denied,"Browser download attempt, then publisher whitelist request with the recorded denial evidence",https://beaconbh.com/cms-hpt.txt,403,2026-09-09T10:37:42.590Z,,https://beaconbh.com/wp-content/uploads/2026/04/853294019-273463367-1881996940_lutcher-hospital_standardcharges_2026.csv,403,,,,,,,,,,2026-09-09T10:07:37.779Z,,,,Automated retrieval denied while the earlier pass corroborated facility identity from this URL; not evidence of a missing file.
194112,BEACON BEHAVIORAL HOSPITAL - CENTRAL,LA,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://beaconbh.com/cms-hpt.txt,403,2026-09-09T10:37:42.590Z,,https://beaconbh.com/wp-content/uploads/2026/04/853294005-320433074-1184044430_bunkie-hospital_standardcharges_2026.csv,206,https://beaconbh.com/wp-content/uploads/2026/04/853294005-320433074-1184044430_bunkie-hospital_standardcharges_2026.csv,corroborated,file-name-and-address,Beacon Behavioral Hospital Central-Bunkie,"Bunkie, Louisiana",LA,2025-10-01,2.0.0,date-within-365-days-older-version,2026-09-09T16:09:00.056Z,,3e5cef24fe43ddd451707e570ec48081c041550fc1aecdddad35ea1d5cee280c,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
204005,MAINEHEALTH BEHAVIORAL HEALTH AT SPRING HARBOR,ME,identity-or-format-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://www.mainehealth.org/cms-hpt.txt,206,2026-09-09T10:07:36.385Z,,https://sthpiprd.blob.core.windows.net/machine-readable-files/8065/010238552-1598798787_mainehealth_standardcharges.csv,206,https://sthpiprd.blob.core.windows.net/machine-readable-files/8065/010238552-1598798787_mainehealth_standardcharges.csv,corroborated-adjudicated,renamed-facility-pointer-label-and-roster-address,MaineHealth,Spring Harbor Hospital,ME,2025-08-12,3.0.0,date-over-365-days,2026-09-09T10:07:38.871Z,1833c7c469958fd9c502c7a91d0ec1cfca43ab6d3cd314674346b16ae2855134,73dea2754c8efc703ce2b7623b4f59a86b902c7cdfe3c0703255ac8de9b474f6,renamed-facility-pointer-label-and-roster-address,Same declared date 2025-08-12 observed again after the earlier check (2026-09-09T02:27:57.576Z).
210005,FREDERICK HEALTH HOSPITAL,MD,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://www.frederickhealth.org/cms-hpt.txt,206,2026-09-09T10:07:36.554Z,,https://www.frederickhealth.org/documents/billing%20and%20finance/52-0591612_FrederickHealthHospital_standardcharges.csv,206,https://www.frederickhealth.org/documents/billing%20and%20finance/52-0591612_FrederickHealthHospital_standardcharges.csv,corroborated,file-name-and-address,"Frederick Health Hospital, Inc.",Frederick Health Hospital,MD,2025-03-17,2.0.0,date-over-365-days,2026-09-09T10:07:37.645Z,b5ab9ff3385698b8862cd090af7d93ac6b77676e13f55420899d8d03e606c5e3,fac8a8bffa9c7ce73d5382b2289fbc73691eb00d776708434217c7e63a10d348,,Same declared date 2025-03-17 observed again after the earlier check (2026-09-09T01:48:52.538Z).
210009,"JOHNS HOPKINS HOSPITAL, THE",MD,metadata-or-pointer-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",,,,,https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/520591656_JohnsHopkinsHospital_standardcharges.csv,206,https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/520591656_JohnsHopkinsHospital_standardcharges.csv,corroborated,file-name-and-address,The Johns Hopkins Hospital,The Johns Hopkins Hospital,MD,2025-07-01,2.2.0,date-over-365-days,2026-09-09T10:07:38.055Z,,fdeec04b814de0588c65e49af36650b8f29f6485533e810b809d1f4cfac5cb11,,Same declared date 2025-07-01 observed again after the earlier check (2026-09-09T02:26:07.134Z).
210022,SUBURBAN HOSPITAL,MD,metadata-or-pointer-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",,,,,https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/520610545_SuburbanHospital_standardcharges.csv,206,https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/520610545_SuburbanHospital_standardcharges.csv,corroborated,file-name-and-address,Suburban Hospital,Suburban Hospital,MD,2025-07-01,2.2.0,date-over-365-days,2026-09-09T10:07:38.903Z,,3fd3decf30676b1208ae8074d635738d6e0293f91f23d2af97d3d5a893856c01,,Same declared date 2025-07-01 observed again after the earlier check (2026-09-09T02:26:08.127Z).
210023,"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC",MD,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://www.luminishealth.org/sites/default/files/2026-01/cms-hpt.txt,206,2026-09-09T10:07:36.904Z,,https://www.luminishealth.org/sites/default/files/2026-01/1477517225_annearundelmedicalcenter_standardcharges.csv,206,https://www.luminishealth.org/sites/default/files/2026-01/1477517225_annearundelmedicalcenter_standardcharges.csv,corroborated,file-name-and-address,Luminis Health Anne Arundel Medical Center,Luminis Health Anne Arundel Medical Center,MD,2026-01-15,2.0.0,date-within-365-days-older-version,2026-09-09T10:07:38.104Z,493e5bcfebbca4ba980fba112a1357412376ec6808f78cd51d7235054b0e53a7,18d06a0c071b11608390c8c8dae8028683f37f7d716cc8db390a8707bcd3b1ed,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
210029,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,MD,metadata-or-pointer-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",,,,,https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/521341890_JohnsHopkinsBayview_standardcharges.csv,206,https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/521341890_JohnsHopkinsBayview_standardcharges.csv,corroborated,file-name-and-address,Johns Hopkins Bayview Medical Center,Johns Hopkins Bayview Medical Center,MD,2025-07-01,2.2.0,date-over-365-days,2026-09-09T10:07:39.442Z,,565ed37f1f2509ab23fd21e6e616efb956206d2fe02aafced403d781dd0a802c,,Same declared date 2025-07-01 observed again after the earlier check (2026-09-09T02:26:08.602Z).
210048,JOHNS HOPKINS HOWARD COUNTY MEDICAL CENTER,MD,metadata-or-pointer-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",,,,,https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/522093120_HowardCountyGeneralHospital_standardcharges.csv,206,https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/522093120_HowardCountyGeneralHospital_standardcharges.csv,corroborated,file-name-and-address,Johns Hopkins Howard County Medical Center,Johns Hopkins Howard County Medical Center,MD,2025-07-01,2.2.0,date-over-365-days,2026-09-09T10:07:39.949Z,,ba2564c671276fd5107a5f3349bb733a023df6ee012a3298bba9de9623d75139,,Same declared date 2025-07-01 observed again after the earlier check (2026-09-09T02:26:08.989Z).
210051,"LUMINIS HEALTH DOCTORS COMMUNITY MEDICAL CTR, INC",MD,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://www.luminishealth.org/sites/default/files/2026-01/cms-hpt.txt,206,2026-09-09T10:07:36.904Z,,https://www.luminishealth.org/sites/default/files/2026-01/1730136532_doctorscommunitymedicalcenter_standardcharges.csv,206,https://www.luminishealth.org/sites/default/files/2026-01/1730136532_doctorscommunitymedicalcenter_standardcharges.csv,corroborated,file-name-and-address,Luminis Health Doctors Community Medical Center,Luminis Health Doctors Community Medical Center,MD,2026-01-15,2.0.0,date-within-365-days-older-version,2026-09-09T10:07:39.406Z,493e5bcfebbca4ba980fba112a1357412376ec6808f78cd51d7235054b0e53a7,9b3afe242b86481ac325ec55566bf1894fd257fdf0b94cbd198b342d94669a7c,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
214020,LUMINIS HEALTH J KENT MCNEW FAMILY MEDICAL CENTER,MD,publisher-template-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://www.luminishealth.org/sites/default/files/2026-01/cms-hpt.txt,206,2026-09-09T10:07:36.904Z,,https://www.luminishealth.org/sites/default/files/2026-01/1780236992_jkentmcnewfamilymedicalcenter_standardcharges.csv,206,https://www.luminishealth.org/sites/default/files/2026-01/1780236992_jkentmcnewfamilymedicalcenter_standardcharges.csv,corroborated,file-name-and-address,Luminis Health J Kent McNew Family Medical Center,Luminis Health J Kent McNew Medical Center,MD,2026-01-15,2.0.0,date-within-365-days-older-version,2026-09-09T10:07:39.770Z,493e5bcfebbca4ba980fba112a1357412376ec6808f78cd51d7235054b0e53a7,e3820dfd5898a56069ceefedca04c63a30d5fda9fd373ac1e7a1a74f57ab0384,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
220095,HEYWOOD HOSPITAL -,MA,publisher-date-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://www.atholhospital.org/cms-hpt.txt,206,2026-09-09T10:07:39.565Z,,https://mrfs.hyvehealthcare.com/HeywoodHealthcare/042103581_heywood-hospital_standardcharges.json,206,https://mrfs.hyvehealthcare.com/HeywoodHealthcare/042103581_heywood-hospital_standardcharges.json,corroborated,file-name-and-address,Heywood Hospital,Heywood Hospital,MA,2025-04-16,2.2.0,date-over-365-days,2026-09-09T10:07:40.022Z,4f53403bb55fba4fcb6e50cccd7302d991106392644442c6d3f1f89a127809a8,9323da4a5a169800b7f3290658d8ec284b0915c853e369873c2785ae315d0cb4,,Same declared date 2025-04-16 observed again after the earlier check (2026-09-09T01:48:38.396Z).
