ccn,hospital_name,state,issue,subject,body,contact,send_status
We maintain an independent review of hospital price-transparency files. Automated retrieval of https://www.nec.org/wp-content/uploads/2026/06/351403134_Northeastern-Center_standardcharges-1.csv is denied (HTTP 403) while your site publishes it. Could you whitelist automated access or provide a direct link?,,,,,,,
Recorded evidence: pointer https://nec.org/cms-hpt.txt (HTTP 403); file https://www.nec.org/wp-content/uploads/2026/06/351403134_Northeastern-Center_standardcharges-1.csv (HTTP 403); checked 2026-09-09T10:07:28.568Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
154056,EVANSVILLE STATE HOSPITAL,IN,template-version-older-than-3,Price transparency file: EVANSVILLE STATE HOSPITAL (CCN 154056),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.in.gov/fssa/dmha/files/356000158-Evansville-State-Hospital_standardcharges.csv declares a current date (2026-01-13) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://www.in.gov/fssa/dmha/state-psychiatric-hospitals/cms-hpt.txt (HTTP 200); file https://www.in.gov/fssa/dmha/files/356000158-Evansville-State-Hospital_standardcharges.csv (HTTP 200); checked 2026-09-09T10:07:29.038Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
161321,AVERA MERRILL PIONEER HOSPITAL,IA,template-version-unrecognized,Price transparency file: AVERA MERRILL PIONEER HOSPITAL (CCN 161321),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.avera.org/app/files/public/7aa7f6a3-0114-4d9f-8a0e-2db3ad03c7dd/460224743_avera-merrill-pioneer-hospital_standardcharges.csv declares template version 4.0.0, which this review does not recognize; its update date (2026-04-01) and facility identity are otherwise current. Could you confirm which CMS data dictionary version it implements?,,,,,,
Recorded evidence: pointer http://www.avera.org/cms-hpt.txt (HTTP 403); file https://www.avera.org/app/files/public/7aa7f6a3-0114-4d9f-8a0e-2db3ad03c7dd/460224743_avera-merrill-pioneer-hospital_standardcharges.csv (HTTP 206); checked 2026-09-09T13:11:15.137Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
161328,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,IA,template-version-unrecognized,Price transparency file: REGIONAL HEALTH SERVICES OF HOWARD COUNTY (CCN 161328),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.avera.org/app/files/public/06b4439e-7691-48e5-8a36-dfa10af3b756/421021780_regional-health-services-of-howard-county_standardcharges.csv declares template version 4.0.0, which this review does not recognize; its update date (2026-04-01) and facility identity are otherwise current. Could you confirm which CMS data dictionary version it implements?,,,,,,
Recorded evidence: pointer http://www.avera.org/cms-hpt.txt (HTTP 403); file https://www.avera.org/app/files/public/06b4439e-7691-48e5-8a36-dfa10af3b756/421021780_regional-health-services-of-howard-county_standardcharges.csv (HTTP 206); checked 2026-09-09T13:11:15.154Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
161336,HEGG MEMORIAL HEALTH CENTER,IA,template-version-unrecognized,Price transparency file: HEGG MEMORIAL HEALTH CENTER (CCN 161336),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.avera.org/app/files/public/ea25130d-fb76-4a5e-b172-c715eb46b09c/420932564_hegg-health-center_standardcharges.csv declares template version 4.0.0, which this review does not recognize; its update date (2026-04-01) and facility identity are otherwise current. Could you confirm which CMS data dictionary version it implements?,,,,,,
Recorded evidence: pointer http://www.avera.org/cms-hpt.txt (HTTP 403); file https://www.avera.org/app/files/public/ea25130d-fb76-4a5e-b172-c715eb46b09c/420932564_hegg-health-center_standardcharges.csv (HTTP 206); checked 2026-09-09T13:11:15.161Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
161346,SIOUX CENTER HEALTH,IA,template-version-unrecognized,Price transparency file: SIOUX CENTER HEALTH (CCN 161346),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.avera.org/app/files/public/585a0692-fcbb-4692-9f7b-1796a5fa2559/420796764_sioux-center-health_standardcharges.csv declares template version 4.0.0, which this review does not recognize; its update date (2026-04-01) and facility identity are otherwise current. Could you confirm which CMS data dictionary version it implements?,,,,,,
Recorded evidence: pointer http://www.avera.org/cms-hpt.txt (HTTP 403); file https://www.avera.org/app/files/public/585a0692-fcbb-4692-9f7b-1796a5fa2559/420796764_sioux-center-health_standardcharges.csv (HTTP 206); checked 2026-09-09T13:11:15.177Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
161350,STEWART MEMORIAL COMMUNITY HOSPITAL,IA,automated-file-access-denied,Price transparency file: STEWART MEMORIAL COMMUNITY HOSPITAL (CCN 161350),Hello,,
We maintain an independent review of hospital price-transparency files. Automated retrieval of https://www.stewartmemorial.org/wp-content/uploads/2025/12/420860039_Stewart-Memorial-Community-Hospital_StandardCharges.csv is denied (HTTP 403) while your site publishes it. Could you whitelist automated access or provide a direct link?,,,,,,,
Recorded evidence: pointer https://stewartmemorial.org/cms-hpt.txt (HTTP 403); file https://www.stewartmemorial.org/wp-content/uploads/2025/12/420860039_Stewart-Memorial-Community-Hospital_StandardCharges.csv (HTTP 403); checked 2026-09-09T10:07:29.458Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
161351,AVERA HOLY FAMILY HOSPITAL,IA,template-version-unrecognized,Price transparency file: AVERA HOLY FAMILY HOSPITAL (CCN 161351),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv declares template version 4.0.0, which this review does not recognize; its update date (2026-04-01) and facility identity are otherwise current. Could you confirm which CMS data dictionary version it implements?,,,,,,
Recorded evidence: pointer http://www.avera.org/cms-hpt.txt (HTTP 403); file https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv (HTTP 206); checked 2026-09-09T13:11:15.191Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
161359,BURGESS HEALTH CENTER,IA,pointer-declared-file-404,Price transparency file: BURGESS HEALTH CENTER (CCN 161359),Hello,,
We maintain an independent review of hospital price-transparency files. Your machine-readable pointer declares https://www.burgesshc.org/wp-content/uploads/2025/01/420859940_Burgess_StandardCharges.csv, which returns HTTP 404 on repeated checks. Could you restore the file or update the pointer?,,,,,,
Recorded evidence: pointer https://burgesshc.org/cms-hpt.txt (HTTP 206); file https://www.burgesshc.org/wp-content/uploads/2025/01/420859940_Burgess_StandardCharges.csv (HTTP 404); checked 2026-09-09T10:45:29.703Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
161368,FLOYD VALLEY HEALTHCARE,IA,template-version-unrecognized,Price transparency file: FLOYD VALLEY HEALTHCARE (CCN 161368),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.avera.org/app/files/public/718846f0-2571-438d-8c93-43650e7cefb8/420928451_floyd-valley-healthcare_standardcharges.csv declares template version 4.0.0, which this review does not recognize; its update date (2026-04-01) and facility identity are otherwise current. Could you confirm which CMS data dictionary version it implements?,,,,,,
Recorded evidence: pointer http://www.avera.org/cms-hpt.txt (HTTP 403); file https://www.avera.org/app/files/public/718846f0-2571-438d-8c93-43650e7cefb8/420928451_floyd-valley-healthcare_standardcharges.csv (HTTP 206); checked 2026-09-09T13:11:15.205Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
170017,SUSAN B ALLEN MEMORIAL HOSPITAL,KS,declared-update-date-over-365-days,Price transparency file: SUSAN B ALLEN MEMORIAL HOSPITAL (CCN 170017),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://apim.services.craneware.com/api-pricing-transparency/api/public/8a15f8f47eb640c1696af37b6c70ac7c/charges/mrf declares last_updated_on 2025-05-27, more than 365 days before our check on 2026-09-09T10:07:30.787Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://www.sbamh.com/cms-hpt.txt (HTTP 206); file https://apim.services.craneware.com/api-pricing-transparency/api/public/8a15f8f47eb640c1696af37b6c70ac7c/charges/mrf (HTTP 200); checked 2026-09-09T10:07:30.787Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
170183,KANSAS SURGERY & RECOVERY CENTER,KS,declared-update-date-over-365-days,Price transparency file: KANSAS SURGERY & RECOVERY CENTER (CCN 170183),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://irp.cdn-website.com/fa377abf/files/uploaded/481148580_kansas-surgery---recovery-center-llc_standardcharges.csv declares last_updated_on 2025-03-25, more than 365 days before our check on 2026-09-09T10:07:30.859Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://irp.cdn-website.com/fa377abf/files/uploaded/cms-hpt202504.txt (HTTP 206); file https://irp.cdn-website.com/fa377abf/files/uploaded/481148580_kansas-surgery---recovery-center-llc_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:30.859Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
171321,MEADE DISTRICT HOSPITAL,KS,declared-update-date-over-365-days,Price transparency file: MEADE DISTRICT HOSPITAL (CCN 171321),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://a9a4b96f-06fd-48d5-afab-60ad79a55e97.filesusr.com/ugd/3293c1_b634e2c6081e4736bc6956dddef01d94.json?dn=480966086_Meade%20District%20Hospital_standardcharges%20(3).json declares last_updated_on 2024-12-31, more than 365 days before our check on 2026-09-09T10:07:31.143Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://3293c1a2-894d-4ca5-9b72-fc018865f82e.usrfiles.com/ugd/3293c1_0c176796799b488382354a99e253f472.txt (HTTP 206); file https://a9a4b96f-06fd-48d5-afab-60ad79a55e97.filesusr.com/ugd/3293c1_b634e2c6081e4736bc6956dddef01d94.json?dn=480966086_Meade%20District%20Hospital_standardcharges%20(3).json (HTTP 206); checked 2026-09-09T10:07:31.143Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
171359,GREELEY COUNTY HEALTH SERVICES,KS,declared-update-date-over-365-days,Price transparency file: GREELEY COUNTY HEALTH SERVICES (CCN 171359),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://greeley.health/wp-content/uploads/2025/03/30-0078435-1285742536_GreeleyCountyHealthServices_standardcharges.csv declares last_updated_on 2025-01-14, more than 365 days before our check on 2026-09-09T10:07:31.498Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer  (HTTP n/a); file https://greeley.health/wp-content/uploads/2025/03/30-0078435-1285742536_GreeleyCountyHealthServices_standardcharges.csv (HTTP 200); checked 2026-09-09T10:07:31.498Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
181309,CASEY COUNTY HOSPITAL,KY,template-version-older-than-3,Price transparency file: CASEY COUNTY HOSPITAL (CCN 181309),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.caseycountyhospital.com/Content/Uploads/caseycountyhospital.com/files/061705652_Casey-County-Hospital_standardcharges(1).csv declares a current date (2026-03-31) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://caseycountyhospital.com/cms-hpt.txt (HTTP 206); file https://www.caseycountyhospital.com/Content/Uploads/caseycountyhospital.com/files/061705652_Casey-County-Hospital_standardcharges(1).csv (HTTP 206); checked 2026-09-09T10:07:32.616Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
181321,WAYNE COUNTY HOSPITAL,KY,pointer-declared-file-404,Price transparency file: WAYNE COUNTY HOSPITAL (CCN 181321),Hello,,
We maintain an independent review of hospital price-transparency files. Your machine-readable pointer declares https://waynehospital.org/files/galleries/610847215_Wayne-County-Hospital_standardcharges.csv, which returns HTTP 404 on repeated checks. Could you restore the file or update the pointer?,,,,,,
Recorded evidence: pointer https://waynehospital.org/cms-hpt.txt (HTTP 206); file https://waynehospital.org/files/galleries/610847215_Wayne-County-Hospital_standardcharges.csv (HTTP 404); checked 2026-09-09T10:45:32.070Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
181325,JANE TODD CRAWFORD HOSPITAL,KY,template-version-older-than-3,Price transparency file: JANE TODD CRAWFORD HOSPITAL (CCN 181325),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.janetoddhospital.com/Content/Uploads/janetoddhospital.com/files/204474637_Jane-Todd-Crawford-Hospital_standardcharges.csv declares a current date (2026-03-31) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://janetoddhospital.com/cms-hpt.txt (HTTP 206); file https://www.janetoddhospital.com/Content/Uploads/janetoddhospital.com/files/204474637_Jane-Todd-Crawford-Hospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:32.975Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
181333,THE MEDICAL CENTER AT ALBANY,KY,declared-update-date-over-365-days,Price transparency file: THE MEDICAL CENTER AT ALBANY (CCN 181333),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://medcenterhealth.org/charges/mca/ declares last_updated_on 2024-07-01, more than 365 days before our check on 2026-09-09T14:41:46.273Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://medcenterhealth.org/cms-hpt.txt (HTTP 200); file https://medcenterhealth.org/charges/mca/ (HTTP 206); checked 2026-09-09T14:41:46.273Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
190044,ACADIA GENERAL HOSPITAL,LA,file-declares-conflicting-license-state,Price transparency file: ACADIA GENERAL HOSPITAL (CCN 190044),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://ochsner-craft.s3.amazonaws.com/core/464958152_acadia-general-hospital-inc_standardcharges.csv.csv declares license state CA while your CMS enrollment lists LA; its name and address otherwise match exactly. Could you correct the license_state field?,,,,,,,
Recorded evidence: pointer https://www.ochsner.org/cms-hpt.txt (HTTP 206); file https://ochsner-craft.s3.amazonaws.com/core/464958152_acadia-general-hospital-inc_standardcharges.csv.csv (HTTP 206); checked 2026-09-09T10:45:09.068Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
190160,GLENWOOD REGIONAL MEDICAL CENTER,LA,declared-update-date-over-365-days,Price transparency file: GLENWOOD REGIONAL MEDICAL CENTER (CCN 190160),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://glenwoodregional.org/pricetransparency/994786140_GlenwoodRegionalMedicalCenter_standardcharges.csv declares last_updated_on 2025-03-19, more than 365 days before our check on 2026-09-09T10:07:33.615Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://glenwoodregional.org/cms-hpt.txt (HTTP 200); file https://glenwoodregional.org/pricetransparency/994786140_GlenwoodRegionalMedicalCenter_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:33.615Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
190167,MERCY REGIONAL MEDICAL CENTER,LA,template-version-older-than-3,Price transparency file: MERCY REGIONAL MEDICAL CENTER (CCN 190167),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://mercyregionalmedical.com/824681222_MERCY-REGIONAL-MEDICAL-CENTER_standardcharges.csv declares a current date (2026-02-02) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://mercyregionalmedical.com/cms-hpt.txt (HTTP 206); file https://mercyregionalmedical.com/824681222_MERCY-REGIONAL-MEDICAL-CENTER_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:33.674Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
190190,CALDWELL MEMORIAL HOSPITAL, INC,LA,declared-update-date-over-365-days,Price transparency file: CALDWELL MEMORIAL HOSPITAL,hpt-obf:v1:gzAG-vRvM_Hz64fQ.o48g1d3YgIf9QHDdQhhEgA.D7YODJirXZHenrtB6DQKjQM,Hello
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://www.mycaldwellmemorial.com/wp-content/uploads/2020/12/720878037_caldwell-memorial-hospital_standardcharges.csv declares last_updated_on 2024-06-27, more than 365 days before our check on 2026-09-09T10:07:34.070Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://mycaldwellmemorial.com/cms-hpt.txt (HTTP 206); file https://www.mycaldwellmemorial.com/wp-content/uploads/2020/12/720878037_caldwell-memorial-hospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:34.070Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
190319,ALEXANDRIA HOSPITAL,LA,template-version-older-than-3,Price transparency file: ALEXANDRIA HOSPITAL (CCN 190319),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.alexandriaer.com/wp-content/uploads/2025/10/821295425_alexandria-hospital-llc_standardcharges-1in.csv declares a current date (2025-10-10) but template version 2.1.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://alexandriaer.com/cms-hpt.txt (HTTP 200); file https://www.alexandriaer.com/wp-content/uploads/2025/10/821295425_alexandria-hospital-llc_standardcharges-1in.csv (HTTP 200); checked 2026-09-09T10:45:49.396Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
194074,SERENITY SPRINGS SPECIALTY HOSPITAL,LA,declared-update-date-over-365-days,Price transparency file: SERENITY SPRINGS SPECIALTY HOSPITAL (CCN 194074),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://rest.edit.site/filestorage-api-service/4a56fb3b641cb21ae28d316dd3efb637/price-transparency-tall-csv.csv declares last_updated_on 2024-10-14, more than 365 days before our check on 2026-09-09T10:37:42.855Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://serenityhospital.com/cms-hpt.txt (HTTP 206); file https://rest.edit.site/filestorage-api-service/4a56fb3b641cb21ae28d316dd3efb637/price-transparency-tall-csv.csv (HTTP 206); checked 2026-09-09T10:37:42.855Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
194102,BEACON BEHAVIORAL HOSPITAL, LLC,LA,automated-file-access-denied,Price transparency file: BEACON BEHAVIORAL HOSPITAL,hpt-obf:v1:piLln9vYwBx8V5B9.HpZi-qixlx5z2k9Ey-dYNQ.74wyY1W9ElCG5hPEVh20HDg,Hello
We maintain an independent review of hospital price-transparency files. Automated retrieval of https://beaconbh.com/wp-content/uploads/2026/04/853294019-273463367-1881996940_lutcher-hospital_standardcharges_2026.csv is denied (HTTP 403) while your site publishes it. Could you whitelist automated access or provide a direct link?,,,,,,,
Recorded evidence: pointer https://beaconbh.com/cms-hpt.txt (HTTP 403); file https://beaconbh.com/wp-content/uploads/2026/04/853294019-273463367-1881996940_lutcher-hospital_standardcharges_2026.csv (HTTP 403); checked 2026-09-09T10:07:37.779Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
194112,BEACON BEHAVIORAL HOSPITAL - CENTRAL,LA,template-version-older-than-3,Price transparency file: BEACON BEHAVIORAL HOSPITAL - CENTRAL (CCN 194112),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://beaconbh.com/wp-content/uploads/2026/04/853294005-320433074-1184044430_bunkie-hospital_standardcharges_2026.csv declares a current date (2025-10-01) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://beaconbh.com/cms-hpt.txt (HTTP 403); file https://beaconbh.com/wp-content/uploads/2026/04/853294005-320433074-1184044430_bunkie-hospital_standardcharges_2026.csv (HTTP 206); checked 2026-09-09T16:09:00.056Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
204005,MAINEHEALTH BEHAVIORAL HEALTH AT SPRING HARBOR,ME,declared-update-date-over-365-days,Price transparency file: MAINEHEALTH BEHAVIORAL HEALTH AT SPRING HARBOR (CCN 204005),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://sthpiprd.blob.core.windows.net/machine-readable-files/8065/010238552-1598798787_mainehealth_standardcharges.csv declares last_updated_on 2025-08-12, more than 365 days before our check on 2026-09-09T10:07:38.871Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://www.mainehealth.org/cms-hpt.txt (HTTP 206); file https://sthpiprd.blob.core.windows.net/machine-readable-files/8065/010238552-1598798787_mainehealth_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:38.871Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
210005,FREDERICK HEALTH HOSPITAL,MD,declared-update-date-over-365-days,Price transparency file: FREDERICK HEALTH HOSPITAL (CCN 210005),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://www.frederickhealth.org/documents/billing%20and%20finance/52-0591612_FrederickHealthHospital_standardcharges.csv declares last_updated_on 2025-03-17, more than 365 days before our check on 2026-09-09T10:07:37.645Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer https://www.frederickhealth.org/cms-hpt.txt (HTTP 206); file https://www.frederickhealth.org/documents/billing%20and%20finance/52-0591612_FrederickHealthHospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:37.645Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
210009,JOHNS HOPKINS HOSPITAL, THE,MD,declared-update-date-over-365-days,Price transparency file: JOHNS HOPKINS HOSPITAL,hpt-obf:v1:Lx8Z0NkPYz2uONTn.VPLmLHTx4LukEus4MqMK7w.Dodwu_k7dM4_ODXROIjk6rQ,Hello
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/520591656_JohnsHopkinsHospital_standardcharges.csv declares last_updated_on 2025-07-01, more than 365 days before our check on 2026-09-09T10:07:38.055Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer  (HTTP n/a); file https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/520591656_JohnsHopkinsHospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:38.055Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
210022,SUBURBAN HOSPITAL,MD,declared-update-date-over-365-days,Price transparency file: SUBURBAN HOSPITAL (CCN 210022),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/520610545_SuburbanHospital_standardcharges.csv declares last_updated_on 2025-07-01, more than 365 days before our check on 2026-09-09T10:07:38.903Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer  (HTTP n/a); file https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/520610545_SuburbanHospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:38.903Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
210023,LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC,MD,template-version-older-than-3,Price transparency file: LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER,hpt-obf:v1:Yq76gz__tHq8OTqy.ciZYb8y5R5hWwszHMRzRdw.WaSMrPkPvdfisW0Nrh76dEU,Hello
We maintain an independent review of hospital price-transparency files. The file at https://www.luminishealth.org/sites/default/files/2026-01/1477517225_annearundelmedicalcenter_standardcharges.csv declares a current date (2026-01-15) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://www.luminishealth.org/sites/default/files/2026-01/cms-hpt.txt (HTTP 206); file https://www.luminishealth.org/sites/default/files/2026-01/1477517225_annearundelmedicalcenter_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:38.104Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
210029,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,MD,declared-update-date-over-365-days,Price transparency file: JOHNS HOPKINS BAYVIEW MEDICAL CENTER (CCN 210029),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/521341890_JohnsHopkinsBayview_standardcharges.csv declares last_updated_on 2025-07-01, more than 365 days before our check on 2026-09-09T10:07:39.442Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer  (HTTP n/a); file https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/521341890_JohnsHopkinsBayview_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:39.442Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
210048,JOHNS HOPKINS HOWARD COUNTY MEDICAL CENTER,MD,declared-update-date-over-365-days,Price transparency file: JOHNS HOPKINS HOWARD COUNTY MEDICAL CENTER (CCN 210048),Hello,,
We maintain an independent review of hospital price-transparency files. The standard-charges file at https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/522093120_HowardCountyGeneralHospital_standardcharges.csv declares last_updated_on 2025-07-01, more than 365 days before our check on 2026-09-09T10:07:39.949Z. Could you confirm whether a more current file exists and point us to it?,,,,,,
Recorded evidence: pointer  (HTTP n/a); file https://jhm-web-assets.s3.amazonaws.com/hopkinsmedicine/prod/charge-fees/522093120_HowardCountyGeneralHospital_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:39.949Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
210051,LUMINIS HEALTH DOCTORS COMMUNITY MEDICAL CTR, INC,MD,template-version-older-than-3,Price transparency file: LUMINIS HEALTH DOCTORS COMMUNITY MEDICAL CTR,hpt-obf:v1:G9dK2D8kMlGkwSnx.95c9jCJtdsGOQUm4cgqrcw.EEjoj2sNNp-US3BZ-i3xA5Y,Hello
We maintain an independent review of hospital price-transparency files. The file at https://www.luminishealth.org/sites/default/files/2026-01/1730136532_doctorscommunitymedicalcenter_standardcharges.csv declares a current date (2026-01-15) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://www.luminishealth.org/sites/default/files/2026-01/cms-hpt.txt (HTTP 206); file https://www.luminishealth.org/sites/default/files/2026-01/1730136532_doctorscommunitymedicalcenter_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:39.406Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
214020,LUMINIS HEALTH J KENT MCNEW FAMILY MEDICAL CENTER,MD,template-version-older-than-3,Price transparency file: LUMINIS HEALTH J KENT MCNEW FAMILY MEDICAL CENTER (CCN 214020),Hello,,
We maintain an independent review of hospital price-transparency files. The file at https://www.luminishealth.org/sites/default/files/2026-01/1780236992_jkentmcnewfamilymedicalcenter_standardcharges.csv declares a current date (2026-01-15) but template version 2.0.0. Could you confirm whether it implements the CMS price-transparency data dictionary and whether an updated export is available?,,,,,,,
Recorded evidence: pointer https://www.luminishealth.org/sites/default/files/2026-01/cms-hpt.txt (HTTP 206); file https://www.luminishealth.org/sites/default/files/2026-01/1780236992_jkentmcnewfamilymedicalcenter_standardcharges.csv (HTTP 206); checked 2026-09-09T10:07:39.770Z.,,,,,,,
Thank you.,[not published],approved-for-outreach,,,,,
220095,HEYWOOD HOSPITAL -,MA,declared-update-date-over-365-days,Price transparency file: HEYWOOD HOSPITAL - (CCN 220095),Hello,,
