ccn,category,decision_question,roster_name,roster_address,header_name,header_location,header_state,declared_date,declared_version,pointer_url,file_url,blocker,options
191318,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),RIVERLAND MEDICAL CENTER,"6569 HWY 84, FERRIDAY LA 71334",CONCORDIA PARISH HOSPITAL SERVICE DISTRICT #1,TRINITY MEDICAL,LA,2024-10-24,2.0.0,https://trinitymed.com/cms-hpt.txt,https://www.trinitymed.com/siteuploads/editorimg/file/720578642_trinity-medical_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
201305,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),CALAIS COMMUNITY HOSPITAL,"24 HOSPITAL LANE, CALAIS ME 04619",Calais Community Hospital,,,,,https://calaishospital.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/IJLS-1755124586280/machine-readable/862728785_calais-community-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
210004,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HOLY CROSS HOSPITAL,"1500 FOREST GLEN ROAD, SILVER SPRING MD 20910",Holy Cross Hospital-Silver Spring,Holy Cross Hospital-Silver Spring,MD,2026-03-31,3.0.0,https://www.holycrosshealth.org/sites/default/files/price-transparency/cms-hpt.txt,https://hpt.trinity-health.org/520738041-1669417838_holy-cross-hospital-silver-spring_standardcharges.zip,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
210065,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HOLY CROSS GERMANTOWN HOSPITAL,"19801 OBSERVATION DRIVE, GERMANTOWN MD 20876",Holy Cross Germantown Hospital,Holy Cross Germantown Hospital,MD,2026-03-31,3.0.0,https://www.holycrosshealth.org/sites/default/files/price-transparency/cms-hpt.txt,https://hpt.trinity-health.org/520738041-1245655638_holy-cross-germantown-hospital_standardcharges.zip,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
220080,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HOLY FAMILY HOSPITAL,"70 EAST STREET, METHUEN MA 01844",Lawrence General Hospital,Lawrence General Hospital | Holy Family Hospital - Methuen,MA,2026-04-29,3.0.0,,https://www.mhlawrencehospital.org/getmedia/e6c34e8a-4f60-484a-a120-519d4d00f386/042103586_LawerenceGeneralHospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
220111,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),GOOD SAMARITAN MEDICAL CENTER,"235 NORTH PEARL STREET, BROCKTON MA 02301",Boston Medical Center South,Boston Medical Center South,MA,2026-03-13,3.0.0,https://www.bmchealthsystem.org/cms-hpt.txt,https://www.bmchealthsystem.org/wp-content/uploads/272473728_BostonMedicalCenterSouth_standardcharges.csv.zip,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
223300,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,"30 WARREN STREET, BRIGHTON MA 02135",Franciscan Hospital For Children,Franciscan Hospital For Children,MA,2026-04-01,3.0.0,https://franciscans.childrenshospital.org/cms-hpt.txt,https://franciscans.childrenshospital.org/sites/default/files/shoppable/042156082_Franciscan_Hospital_for_Children_Standardsharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
230002,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ST JOE MERCY HOSPITAL SYSTEM LIVONIA,"36475 FIVE MILE ROAD, LIVONIA MI 48154",St Mary Mercy Livonia,St Mary Mercy Livonia,MI,2026-03-31,3.0.0,https://www.trinityhealthmichigan.org/sites/default/files/cms-hpt.txt,https://hpt.trinity-health.org/383521763_st-mary-mercy-livonia_standardcharges.zip,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
230020,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BEAUMONT HOSPITAL - DEARBORN,"18101 OAKWOOD BLVD, DEARBORN MI 48124",Corewell Health Butterworth Hospital,Corewell Health Butterworth Hospital,MI,2026-04-01,3.0.0,https://corewellhealth.org/cms-hpt.txt,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt0f9fd2163e3908a4/381360529_corewell-health-butterworth-hospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
230035,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SPECTRUM HEALTH UNITED HOSPITAL,"615 S BOWER STREET, GREENVILLE MI 48838",Corewell Health Butterworth Hospital,Corewell Health Butterworth Hospital,MI,2026-04-01,3.0.0,https://corewellhealth.org/cms-hpt.txt,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt0f9fd2163e3908a4/381360529_corewell-health-butterworth-hospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
230055,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),DICKINSON COUNTY MEMORIAL HOSPITAL,"1721 S STEPHENSON AVE, IRON MOUNTAIN MI 49801",Marshfield Medical Center - Dickinson,Marshfield Medical Center - Dickinson,MI,2026-02-19,3.0.0,https://www.marshfieldclinic.org/cms-hpt.txt,https://www.marshfieldclinic.org/-/media/marshfieldclinic/files/patient%20resources/cms-hpt-documents/382780429_marshfield-medical-center--dickinson_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
230089,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BEAUMONT HOSPITAL - GROSSE POINTE,"468 CADIEUX RD, GROSSE POINTE MI 48230",William Beaumont Hospital,Corewell Health Grosse Pointe Hospital,MI,2026-04-01,3.0.0,https://corewellhealth.org/cms-hpt.txt,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt5644d1c708026093/183459362_1811044878_william-beaumont-hospital_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
230146,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),WYANDOTTE HOSPITAL AND MEDICAL CENTER,"2333 BIDDLE AVE, WYANDOTTE MI 48192",Henry Ford Wyandotte Hospital,Henry Ford Wyandotte Hospital | Henry Ford Wyandotte Hospital | Henry Ford Brownstown,MI,2026-06-28,3.0.0,https://www.henryford.com/cms-hpt.txt,https://www.henryford.com/-/media/files/henry-ford/patients-visitors/price-transparency-06-26/382791823_henry-ford-wyandotte-hospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
230151,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BEAUMONT HOSPITAL - FARMINGTON HILLS,"28050 GRAND RIVER AVENUE, FARMINGTON HILLS MI 48336",Corewell Health Butterworth Hospital,Corewell Health Butterworth Hospital,MI,2026-04-01,3.0.0,https://corewellhealth.org/cms-hpt.txt,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt0f9fd2163e3908a4/381360529_corewell-health-butterworth-hospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
230230,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),EDWARD W SPARROW HOSPITAL,"1215 E MICHIGAN AVENUE, LANSING MI 48912",University of Michigan Health-Sparrow Specialty Hospital,University of Michigan Health-Sparrow Specialty Hospital,CA,2026-04-07,4.0.0,https://www.uofmhealthsparrow.org/cms-hpt.txt,https://www.uofmhealthsparrow.org/sites/default/files/2026-04/um-health-sparrow-specialty-machine-readable-file-04-08-2026.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
230269,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),"BEAUMONT HOSPITAL, TROY","44201 DEQUINDRE ROAD, TROY MI 48085",William Beaumont Hospital,Corewell Health Troy Hospital,MI,2026-04-01,3.0.0,https://corewellhealth.org/cms-hpt.txt,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blta76ad74666a452ed/381459362_1811044878_beaumont-hospital-troy_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
230270,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BEAUMONT HOSPITAL - TAYLOR,"10000 TELEGRAPH ROAD, TAYLOR MI 48180",Oakwood Healthcare Inc,Corewell Health Taylor Hospital ,MI,2026-04-01,3.0.0,https://corewellhealth.org/cms-hpt.txt,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt038c460a72c2b256/381405141_1487605168_oakwood-healthcare-inc_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
231331,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SPARROW IONIA HOSPITAL,"3565 S STATE ROAD, IONIA MI 48846",University of Michigan Health-Sparrow Ionia ,University of Michigan Health-Sparrow Ionia ,CA,2026-04-01,4.1.0,https://www.uofmhealthsparrow.org/cms-hpt.txt,https://www.uofmhealthsparrow.org/sites/default/files/2026-03/um-health-sparrow-ionia-machine-readable-file-03-31-2026.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
231333,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ASPIRUS IRONWOOD HOSPITAL,"N10561 GRAND VIEW LANE, IRONWOOD MI 49938",Aspirus Ironwood Hospital,Aspirus Ironwood Hospital,MI,2025-07-01,2.2.0,https://www.aspirus.org/cms-hpt.txt,https://www.aspirus.org/Uploads/Public/Documents/PriceEstimate/TransparencyFY26/382908586_aspirus-ironwood-hospital_standardcharges.json,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
231339,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),COREWELL HEALTH PENNOCK HOSPITAL,"1009 W GREEN ST, HASTINGS MI 49058",Corewell Health Butterworth Hospital,Corewell Health Butterworth Hospital,MI,2026-04-01,3.0.0,https://corewellhealth.org/cms-hpt.txt,https://assets.contentstack.io/v3/assets/blt3055f692fe7bf193/blt0f9fd2163e3908a4/381360529_corewell-health-butterworth-hospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
240053,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PARK NICOLLET METHODIST HOSPITAL,"6500 EXCELSIOR BLVD, SAINT LOUIS PARK MN 55426",Methodist Hospital,Methodist Hospital,MN,2026-03-31,3.0.0,https://www.healthpartners.com/cms-hpt.txt,https://www.healthpartners.com/content/dam/brand-identity/pdfs/care/410832080_MethodistHospital_StandardCharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
241350,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ESSENTIA HEALTH MOOSE LAKE,"4572 COUNTY ROAD 61, MOOSE LAKE MN 55767",Essentia Health Moose Lake,Moose Lake Hospital,MN,2026-01-01,2.0.0,https://www.essentiahealth.org/cms-hpt.txt,https://www.essentiahealth.org/standard-charges/2026/845099016_Essentia-Moose-Lake_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
250038,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MERIT HEALTH MADISON,"161 RIVER OAKS DRIVE, CANTON MS 39046",STATE OF MISSISSIPPI-UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,UMMC - MADISON,MS,2026-04-01,3.0.0,https://umc.edu/cms-hpt.txt,https://www.umc.edu/Healthcare/Patients-and-Visitors/Bill%20Pay/Pricing%20Files/646008520-1194770404_university-of-mississippi-medical-center_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
250042,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),NORTHWEST MISSISSISSIPPI REGIONAL MEDICAL CENTER,"1970 HOSPITAL DRIVE, CLARKSDALE MS 38614",Delta Health System,Delta Health System|Delta Health System (West Campus),MS,2026-08-21,3.0.0,https://www.deltahealthsystem.org/cms-hpt.txt,https://www.deltahealthsystem.org/documents/640586958_delta-regional-medical-center_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
250172,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HIGHLAND HILLS MEDICAL CENTER,"401 GETWELL DRIVE, SENATOBIA MS 38668",Delta Health System,Delta Health System|Delta Health System (West Campus),MS,2026-08-21,3.0.0,https://www.deltahealthsystem.org/cms-hpt.txt,https://www.deltahealthsystem.org/documents/640586958_delta-regional-medical-center_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
251323,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),OCHSNER SCOTT REGIONAL,"317 HIGHWAY 13 SOUTH, MORTON MS 39117","Scott Regional Medical Center, Inc.",Ochsner Scott Regional ,LA,2026-04-01,3.0.0,https://www.ochsner.org/cms-hpt.txt,https://ochsner-craft.s3.amazonaws.com/core/260792328_scott-regional-medical-center-inc._standardcharges.csv_2026-03-26-184248_yujh.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
251325,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),COVINGTON COUNTY HOSPITAL CAH,"701 SOUTH HOLLY AVENUE, COLLINS MS 39428",covington_county_hospital,covington_county_hospital_.1,MS,2026-07-21,3.0.0,,https://covingtoncountyhospital.com/646001549_covington-county-hospital_standardcharges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
251335,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),OCHSNER STENNIS MEMORIAL HOSPITAL,"14365 HIGHWAY 16 WEST, DE KALB MS 39328","Kemper CAH, Inc. ",Ochsner Stennis Hospital,LA,2026-04-01,3.0.0,https://www.ochsner.org/cms-hpt.txt,https://ochsner-craft.s3.amazonaws.com/core/271757642_kemper-cah-inc.-_standardcharges.csv.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
260110,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MERCY HOSPITAL SOUTHEAST,"1701 LACEY ST, CAPE GIRARDEAU MO 63701",Southeast Hospital dba Mercy Hospital Southeast,Southeast Hospital dba Mercy Hospital Southeast,OK,2026-06-11,3.0.0,https://www.mercy.net/content/dam/mercy/en/cms-hpt/cms-hpt.txt,https://www.mercy.net/content/dam/mercy/en/web-assets/charge-files/430654874_mercy-hospital-southeast_standardcharges.zip,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
261303,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),COMMUNITY HOSPITAL ASSOCIATION,"26136 US HIGHWAY 59, PO BOX 107, FAIRFAX MO 64446",Community Hospital Association,Community Hospital Fairfax,MO,2026-08-21,3.0.0,https://fairfaxmed.com/cms-hpt.txt,https://fairfax.pt.panaceainc.com/MRFDownload/fairfax/fairfax,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
261305,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PUTNAM COUNTY MEMORIAL HOSPITAL,"1926 OAK STREET,  PO BOX 389, UNIONVILLE MO 63565",Putnam County Memorial Hospital,Putnam County Memorial Hospital,MO,2026-04-09,3.0.0,https://www.pcmhosp.com/_files/ugd/715aec_84b5ed9ad0954d16bc85a681eba230f9.txt?dn=cms-hpt%20(2026).txt,https://715aec82-78c7-4cfd-9819-25bb620d49bb.usrfiles.com/ugd/715aec_bcdff3c73b64415b8485139001e17eb7.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
261332,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),CARROLL COUNTY MEMORIAL HOSPITAL,"1502 NORTH JEFFERSON, CARROLLTON MO 64633",Carroll County Memorial Hospital,Carroll County Memorial Hospital,MO,2026-04-01,3.0.,https://www.carrollcountyhospital.org/cms-hpt.txt,https://www.carrollcountyhospital.org/Content/Uploads/carrollcountyhospital.org/files/440629397_carroll-county-memorial-hospital_standardcharges.csv.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
271314,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),DEER LODGE MEDICAL CENTER,"1100 HOLLENBACK LN, DEER LODGE MT 59722",Powell County Memorial Hospital Association,Deer Lodge Medical Center,CA,2026-01-01,4.0.0,https://dlmed.org/cms-hpt.txt,https://www.dlmed.org/wp-content/uploads/2026/01/Powell-County-Hospital-Standard-Charges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
271324,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PONDERA MEDICAL CENTER,"805 SUNSET BLVD, CONRAD MT 59425",Logan Health - Conrad,Logan Health - Conrad,MT,2026-04-01,3.0.0,https://logan.org/cms-hpt.txt,https://hospitalpricedisclosure.com/download.aspx?pi=YI*_*B*_*wvXdFlgmQNXvicF2w*-*,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
280065,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),GREAT PLAINS HEALTH,"601 WEST LEOTA ST, NORTH PLATTE NE 69101",Great Plains Health,,,,,https://res.cloudinary.com/dpmykpsih/raw/upload/great-plains-health-site-358/media/c905b76950d842b68b1299e19117ba31/cms-hpt.txt,https://secure.claraprice.net/price-transparency/MAPH-1681850094272/machine-readable,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
281306,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),KEARNEY COUNTY HEALTH SERVICES HOSPITAL,"727 EAST 1ST ST, MINDEN NE 68959",Kearney County Hospital,,,,,https://kchs.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/ECZN-1713298384823/machine-readable/476014070_kearney-county-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
281312,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),GENOA COMMUNITY HOSPITAL,"P O BOX 310, 706 EWING AVE, GENOA NE 68640",Genoa Medical Facilities,,,,,https://genoamedical.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/60faecd27d40231ea612e844/machine-readable/476006197_genoa-medical_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
281313,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),GOTHENBURG HEALTH,"PO BOX 469 910 20TH ST, GOTHENBURG NE 69138",Gothenburg Health,,,,,https://www.gothenburghealth.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/YTLS-1743523485849/machine-readable/470532605_gothenburg-health_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
281316,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),WEBSTER COUNTY COMMUNITY HOSPITAL,"P O BOX 465, 621 N FRANKLIN ST, RED CLOUD NE 68970",Webster County Community Hospital dba Webster County Community Hospital,,,,,https://websterhospital.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/MMRL-1778188481466/machine-readable/470466032_webster-county-community-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
281327,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),COZAD COMMUNITY HOSPITAL,"P O BOX 108, 300 EAST 12TH ST, COZAD NE 69130",Cozad Community Hospital,,,,,https://cozadhealthcare.com/cms-hpt.txt,https://secure.claraprice.net/price-transparency/YWBX-1689949782535/machine-readable/476007486_cozad-community-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
281334,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BOONE COUNTY HEALTH CENTER,"P O BOX 151, 723 WEST FAIRVIEW ST, ALBION NE 68620",Boone County Health Center,,,,,https://boonecohealth.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/AWJB-1737999041661/machine-readable/476000611_boone-county-health-center_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
281335,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),CALLAWAY DISTRICT HOSPITAL,"P O BOX 100, 211 E KIMBALL ST, CALLAWAY NE 68825",Callaway District Hospital,,,,,https://www.callawayhospital.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/IHDY-1698614401401/machine-readable/470533576_callaway-district-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
281340,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),DUNDY COUNTY HOSPITAL,"P O BOX 626, 1313 NORTH CHEYENNE ST, BENKELMAN NE 69021",Dundy County Hospital,,,,,https://www.dchbenkelman.com/cms-hpt.txt,https://secure.claraprice.net/price-transparency/GGVV-1725057844241/machine-readable/47-0487831_dundy-county-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
281364,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC","P O BOX 278, 4800 HOSPITAL PARKWAY, BEATRICE NE 68310",Beatrice Community Hospital,,,,,https://beatricecommunityhospital.com/cms-hpt.txt,https://secure.claraprice.net/price-transparency/RNAV-1731102747513/machine-readable/470379834_beatrice-community-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
291304,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PERSHING GENERAL HOSPITAL,"855 6TH STREET/PO BOX 661, LOVELOCK NV 89419",Pershing General Hospital,Pershing General Hospital,NV,2024-10-15,2.0.0,https://ad3230b5-b9c7-4f2c-a14b-3d713fd2a267.usrfiles.com/ugd/ad3230_89792fb0bf314ed0a68f669819044727.txt,https://www.pershinghospital.org/_files/ugd/b92894_afcb05069cf44bbe9414cb42fedd43cc.csv?dn=880201578_PERSHING-GENERAL-HOSPITAL_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
291314,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SOUTH LYON MEDICAL CENTER,"213 S WHITACRE/PO BOX 940, YERINGTON NV 89447",,,,,,https://slmcnv.org/cms-hpt.txt,https://slmcnv.org/wp-content/uploads/2023/11/880256932_south-lyon-medical-center_standardcharges.csv,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
310016,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HEIGHTS UNIVERSITY HOSPITAL,"176 PALISADE AVE, JERSEY CITY NJ 07306",Bayonne University Hospital,Bayonne University Hospital,NJ,2026-08-17,3.0.0,https://carepointhealth.org/cms-hpt.txt,https://images.pricetransparency.healthcare/hudson_regional_health_bayonne/261442063_bayonne-university-hospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
310022,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),WEST JERSEY HOSPITAL,"100 BOWMAN DRIVE, VOORHEES NJ 08043",Virtua_West_Jersey_Health_System_Inc, Virtua Voorhees Hospital,NJ,2026-06-01,3.0.0,https://www.virtua.org/cms-hpt.txt,https://www.virtua.org/-/media/Project/Virtua-Tenant/Virtua/PDFs/Hospital-Charges-June-2026/210634532_Virtua-West-Jersey-Health-System-Inc_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
310025,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,"29 EAST 29TH ST, BAYONNE NJ 07002",Bayonne University Hospital,Bayonne University Hospital,NJ,2026-08-17,3.0.0,https://carepointhealth.org/cms-hpt.txt,https://images.pricetransparency.healthcare/hudson_regional_health_bayonne/261442063_bayonne-university-hospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
310064,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,"1925 PACIFIC AVENUE, ATLANTIC CITY NJ 08401",AtlantiCare Health System,ACRMC Mainland,NJ,2026-03-18,3.0.0,https://www.atlanticare.org/sites/default/files/cms-hpt.txt,https://atlanticare.pt.panaceainc.com/MRFDownload/atlanticare/atlanticare,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
310115,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),AHS HOSPITAL CORP,"651 WILLOW GROVE ST, HACKETTSTOWN NJ 07840",Hackettstown Medical Center,Hackettstown Medical Center,NJ,2026-04-01,3.0.0,https://www.atlantichealth.org/cms-hpt.txt,https://www.atlantichealth.org/content/dam/ahs/insurance/price-transparency/52-1958352_hackettstown-medical-center_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
310118,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HUDSON REGIONAL HOSPITAL,"55 MEADOWLANDS PKWY, SECAUCUS NJ 07094",NJMHMC LLC,NJMHMC LLC,NJ,2026-01-19,3.0.0,https://hudsonregionalhospital.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbLHCSECAUCUSNJ&type=CDMWithoutLabel&fileType=CSV,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
320001,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),UNM HOSPITAL,"2211 LOMAS BOULEVARD NE, ALBUQUERQUE NM 87106",University of New Mexico Hospital | UNM Sandoval Regional Medical Center - A Campus of UNM Hospital,University of New Mexico Hospital |University of New Mexico Hospital | UNM Sandoval Regional Medical Center - A Campus of UNM Hospital,NM,2026-03-25,3.0.0,https://unmhealth.org/cms-hpt.txt,https://unmhealth.org/patients-visitors/_files/856003005_university-of-new-mexico-hospital_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
330009,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BRONXCARE HOSPITAL CENTER,"1276 FULTON AVENUE, BRONX NY 10456",BRONXCARE HEALTH SYSTEM,BronxCare Health System - BronxCare Hospital Center Concourse,NY,2026-04-17,3.0.0,https://www.bronxcare.org/cms-hpt.txt,https://www.bronxcare.org/about-us/paying-for-care/charges/131974191_bronxcare-health-system-bronxcare-hospital-center-concourse_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
330013,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34, ALBANY NY 12208",ALBANY MEDICAL CENTER HOSPITAL,Albany Medical Center,NY,2025-12-31,3.0.0,https://www.amc.edu/cms-hpt.txt,https://albany.pt.panaceainc.com/MRFDownload/albany/albanyamc,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
