ccn,hospital_name,url,pointerUrl,sourcePageUrl,location_name,pointerCheckedAt,pointerSha256,score,http_status,file_kind,header_name,header_location,header_address,header_state,identity,identity_basis,date,version,metadata,checked_at,error
050309,SUTTER ROSEVILLE MEDICAL CENTER,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1447604814_alta-bates-summit-medical-center-herrick-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center - Herrick Campus,Alta Bates Summit Medical Center - Herrick Campus,"2001 Dwight Way, Berkeley, CA 94704-2608",CA,mrf-header-does-not-match-unresolved-roster,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:44.712Z,
050291,SUTTER SANTA ROSA REGIONAL HOSPITAL,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1295181477_alta-bates-summit-medical-center-summit-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center,Alta Bates Summit Medical Center,"350 Hawthorne Avenue, Oakland, CA 94609",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:43.758Z,
050291,SUTTER SANTA ROSA REGIONAL HOSPITAL,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1194171371_alta-bates-summit-medical-center-hawthorne-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center-Summit Campus-Hawthorne,Alta Bates Summit Medical Center-Summit Campus-Hawthorne,"350 Hawthorne Avenue, Oakland, CA 94609",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:43.796Z,
050291,SUTTER SANTA ROSA REGIONAL HOSPITAL,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1639523004_alta-bates-summit-medical-center-alta-bates-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center - Alta Bates Camp,Alta Bates Summit Medical Center - Alta Bates Camp,"2450 Ashby Avenue, Berkeley, CA 94705",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:44.536Z,
050291,SUTTER SANTA ROSA REGIONAL HOSPITAL,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1447604814_alta-bates-summit-medical-center-herrick-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center - Herrick Campus,Alta Bates Summit Medical Center - Herrick Campus,"2001 Dwight Way, Berkeley, CA 94704-2608",CA,mrf-header-does-not-match-unresolved-roster,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:44.712Z,
050101,SUTTER SOLANO MEDICAL CENTER,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1295181477_alta-bates-summit-medical-center-summit-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center,Alta Bates Summit Medical Center,"350 Hawthorne Avenue, Oakland, CA 94609",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:43.758Z,
050101,SUTTER SOLANO MEDICAL CENTER,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1194171371_alta-bates-summit-medical-center-hawthorne-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center-Summit Campus-Hawthorne,Alta Bates Summit Medical Center-Summit Campus-Hawthorne,"350 Hawthorne Avenue, Oakland, CA 94609",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:43.796Z,
050101,SUTTER SOLANO MEDICAL CENTER,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1639523004_alta-bates-summit-medical-center-alta-bates-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center - Alta Bates Camp,Alta Bates Summit Medical Center - Alta Bates Camp,"2450 Ashby Avenue, Berkeley, CA 94705",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:44.536Z,
050101,SUTTER SOLANO MEDICAL CENTER,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1447604814_alta-bates-summit-medical-center-herrick-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center - Herrick Campus,Alta Bates Summit Medical Center - Herrick Campus,"2001 Dwight Way, Berkeley, CA 94704-2608",CA,mrf-header-does-not-match-unresolved-roster,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:44.712Z,
050766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1295181477_alta-bates-summit-medical-center-summit-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center,Alta Bates Summit Medical Center,"350 Hawthorne Avenue, Oakland, CA 94609",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:43.758Z,
050766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1194171371_alta-bates-summit-medical-center-hawthorne-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center-Summit Campus-Hawthorne,Alta Bates Summit Medical Center-Summit Campus-Hawthorne,"350 Hawthorne Avenue, Oakland, CA 94609",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:43.796Z,
050766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1639523004_alta-bates-summit-medical-center-alta-bates-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center - Alta Bates Camp,Alta Bates Summit Medical Center - Alta Bates Camp,"2450 Ashby Avenue, Berkeley, CA 94705",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:44.536Z,
050766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1447604814_alta-bates-summit-medical-center-herrick-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center - Herrick Campus,Alta Bates Summit Medical Center - Herrick Campus,"2001 Dwight Way, Berkeley, CA 94704-2608",CA,mrf-header-does-not-match-unresolved-roster,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:44.712Z,
050313,SUTTER TRACY COMMUNITY HOSPITAL,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1295181477_alta-bates-summit-medical-center-summit-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center,Alta Bates Summit Medical Center,"350 Hawthorne Avenue, Oakland, CA 94609",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:43.758Z,
050313,SUTTER TRACY COMMUNITY HOSPITAL,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1194171371_alta-bates-summit-medical-center-hawthorne-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center-Summit Campus-Hawthorne,Alta Bates Summit Medical Center-Summit Campus-Hawthorne,"350 Hawthorne Avenue, Oakland, CA 94609",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:43.796Z,
050313,SUTTER TRACY COMMUNITY HOSPITAL,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1639523004_alta-bates-summit-medical-center-alta-bates-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center - Alta Bates Camp,Alta Bates Summit Medical Center - Alta Bates Camp,"2450 Ashby Avenue, Berkeley, CA 94705",CA,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:44.536Z,
050313,SUTTER TRACY COMMUNITY HOSPITAL,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1447604814_alta-bates-summit-medical-center-herrick-campus_standardcharges.csv,,https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency,Chargemaster (CSV),,,0,206,csv,Alta Bates Summit Medical Center - Herrick Campus,Alta Bates Summit Medical Center - Herrick Campus,"2001 Dwight Way, Berkeley, CA 94704-2608",CA,mrf-header-does-not-match-unresolved-roster,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:44.712Z,
050128,TRI-CITY MEDICAL CENTER,https://downloads.ctfassets.net/pxcfulgsd9e2/4gjlqHWnZQNgtiSy8ZJLrL/462e87c011e61ee6d9262dedaaddd95d/952126937_tricity-medical-center_standardcharges.csv,https://tricitymed.org/cms-hpt.txt,https://www.sharp.com/billing/estimate,Tri-City Medical Center,2026-09-09T01:43:16.940Z,cb35b54a7cc684a4255738298a46e5d74d1a64fc5da7937ca8f9461ada252c91,1,206,csv,Tri-City Medical Center,Tri-City Medical Center,"4002 Vista Way, Oceanside, CA 92056-4506",CA,corroborated,file-name-and-address,2026-05-29,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:49.775Z,
050128,TRI-CITY MEDICAL CENTER,https://tricitymed.org/wp-content/uploads/2026/03/952126937_Tri-City-Medical-Center_standardcharges.csv,,,,,,0,206,csv,Tri-City Medical Center,Tri-City Medical Center,"4002 Vista Way, Oceanside, CA 92056",CA,corroborated,file-name-and-address,2025-10-03,2.0.0,date-within-365-days-older-version,2026-09-09T01:47:49.801Z,
050152,UCSF HEALTH SAINT FRANCIS HOSPITAL,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/741385192-1972581940_the-community-hospital-of-brazosport_standardcharges.json,https://www.commonspirit.org/cms-hpt.txt,https://www.commonspirit.org/patient-resources/stlukes-health-price-transparency,St. Luke's Health - Brazosport Hospital,2026-09-09T01:43:17.275Z,385a5f374bb39ccdd5be2df699183bea76528f3dface47743372b8d4824a335f,0.44444444444444453,206,json,THE COMMUNITY HOSPITAL OF BRAZOSPORT,CHI St. Luke's Health Brazosport,"100 Medical Drive, Lake Jackson, TX 77566",TX,mrf-header-identity-and-location-agree,,2026-02-28,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:49.806Z,
050152,UCSF HEALTH SAINT FRANCIS HOSPITAL,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/300427437-1184868879_st-lukes-lakeside-hospital-llc_standardcharges.json,https://www.commonspirit.org/cms-hpt.txt,https://www.commonspirit.org/patient-resources/stlukes-health-price-transparency,St. Luke's Health - Lakeside Hospital,2026-09-09T01:43:17.275Z,385a5f374bb39ccdd5be2df699183bea76528f3dface47743372b8d4824a335f,0.44444444444444453,206,json,"ST LUKE'S LAKESIDE HOSPITAL, LLC",St. Luke's Lakeside Hospital,"17400 St Lukes Way, The Woodlands, TX 77384",TX,mrf-header-identity-and-location-agree,,2026-02-28,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:50.120Z,
050152,UCSF HEALTH SAINT FRANCIS HOSPITAL,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/263734606-1710314141_st-lukes-hospital-at-the-vintage_standardcharges.json,https://www.commonspirit.org/cms-hpt.txt,https://www.commonspirit.org/patient-resources/stlukes-health-price-transparency,St. Luke's Health - The Vintage Hospital,2026-09-09T01:43:17.275Z,385a5f374bb39ccdd5be2df699183bea76528f3dface47743372b8d4824a335f,0.44444444444444453,206,json,ST. LUKES HOSPITAL AT THE VINTAGE,St. Luke's Hospital at The Vintage,"20171 Chasewood Park Drive, Houston, TX 77070",TX,mrf-header-identity-and-location-agree,,2026-02-28,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:50.157Z,
050457,UCSF HEALTH ST. MARY'S HOSPITAL,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/741385192-1972581940_the-community-hospital-of-brazosport_standardcharges.json,https://www.commonspirit.org/cms-hpt.txt,https://www.commonspirit.org/patient-resources/stlukes-health-price-transparency,St. Luke's Health - Brazosport Hospital,2026-09-09T01:43:17.275Z,385a5f374bb39ccdd5be2df699183bea76528f3dface47743372b8d4824a335f,0.44444444444444453,206,json,THE COMMUNITY HOSPITAL OF BRAZOSPORT,CHI St. Luke's Health Brazosport,"100 Medical Drive, Lake Jackson, TX 77566",TX,mrf-header-identity-and-location-agree,,2026-02-28,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:49.806Z,
050457,UCSF HEALTH ST. MARY'S HOSPITAL,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/300427437-1184868879_st-lukes-lakeside-hospital-llc_standardcharges.json,https://www.commonspirit.org/cms-hpt.txt,https://www.commonspirit.org/patient-resources/stlukes-health-price-transparency,St. Luke's Health - Lakeside Hospital,2026-09-09T01:43:17.275Z,385a5f374bb39ccdd5be2df699183bea76528f3dface47743372b8d4824a335f,0.44444444444444453,206,json,"ST LUKE'S LAKESIDE HOSPITAL, LLC",St. Luke's Lakeside Hospital,"17400 St Lukes Way, The Woodlands, TX 77384",TX,mrf-header-identity-and-location-agree,,2026-02-28,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:50.120Z,
050457,UCSF HEALTH ST. MARY'S HOSPITAL,https://www.commonspirit.org/content/dam/commonspiritorg/en/stluh/soho/finance/price-transparency/263734606-1710314141_st-lukes-hospital-at-the-vintage_standardcharges.json,https://www.commonspirit.org/cms-hpt.txt,https://www.commonspirit.org/patient-resources/stlukes-health-price-transparency,St. Luke's Health - The Vintage Hospital,2026-09-09T01:43:17.275Z,385a5f374bb39ccdd5be2df699183bea76528f3dface47743372b8d4824a335f,0.44444444444444453,206,json,ST. LUKES HOSPITAL AT THE VINTAGE,St. Luke's Hospital at The Vintage,"20171 Chasewood Park Drive, Houston, TX 77070",TX,mrf-header-identity-and-location-agree,,2026-02-28,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:50.157Z,
063303,CHILDREN'S HOSPITAL COLORADO - COLORADO SPRINGS,https://sthpiprd.blob.core.windows.net/machine-readable-files/8432/840166760-1336245828_childrens-hospital-colorado_standardcharges.csv,https://www.childrenscolorado.org/cms-hpt.txt,https://search.hospitalpriceindex.com/hpi2/machineReadable/ChildrensHospitalDenverMetro/8432,Children's Hospital Colorado Anschutz Medical Campus,2026-09-09T01:43:17.271Z,c187b881d9334b4cd86515ceb4387aa5fdea6fa316956b1e67f0ef0bfc1263c3,0.5,206,csv,Childrens Hospital Colorado,Children's Hospital Colorado Anschutz Medical Campus,"13123 E. 16th Ave., Aurora, CO 80045",CO,mrf-header-identity-and-location-agree,,2026-04-17,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:50.240Z,
061325,EASTERN RIO BLANCO COUNTY HEALTH SERVICE DISTRICT,https://www.pioneershospital.org/wp-content/uploads/2025/10/870788731_pioneers-medical-center_shoppable.csv.csv,https://www.pioneershospital.org/cms-hpt.txt,https://www.pioneershospital.org/,Pioneers Medical Center,2026-09-09T01:43:17.301Z,fd4848422f44851defbbcd2c4f9ef57d1cc22b97debdde70f719bc75fd8df688,0,206,csv,,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:50.251Z,
061304,HAXTUN HOSPITAL DISTRICT,https://secure.claraprice.net/price-transparency/PJGJ-1779130304140/machine-readable/840574271_haxtun-hospital_standardcharges.json,https://haxtunhealth.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/haxtun-hospital-co,Haxtun Hospital,2026-09-09T01:43:17.307Z,2698dafc5d18e67f7f01022466c017d15183c425bbd61c105ef3cb377d278b83,0.5652173913043479,200,json,Haxtun Hospital District,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:50.505Z,
061343,KEEFE MEMORIAL HOSPITAL,https://keefemh.org/wp-content/uploads/2025/07/472340447_keefe-memorial-health-service-district_standardcharges.csv,https://keefemh.org/cms-hpt.txt,https://keefemh.org/patient-resources/pricing-transparency/,Keefe Memorial Health Service District,2026-09-09T01:43:17.090Z,6f31f5acfb2ea4f05e0dd146e20ed80e1debed1b538bcd2b3584a7d007e87430,0.3611111111111111,206,csv,Keefe Memorial Health Service District,Keefe Memorial Hospital,"602 N 6th St West, Cheyenne Wells, CO, 80810",CO,corroborated,file-name-and-address,2025-06-30,2.0.0,date-over-365-days,2026-09-09T01:47:50.518Z,
060020,"PARKVIEW MEDICAL CENTER, INC",https://sthpiprd.blob.core.windows.net/machine-readable-files/9152/841033516_uchealth-parkview-medical-center_standardcharges.csv,https://www.uchealth.org/cms-hpt.txt,https://search.hospitalpriceindex.com/hpi2/machineReadable/ParkviewMedicalCenter/9152,UCHealth Parkview Medical Center,2026-09-09T01:43:17.414Z,2659c14ffc301c5d4301620caebaf1690047f054a95b8c270e7902557b253465,0.6153846153846155,404,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:51.663Z,
061323,PROWERS MEDICAL CENTER,https://www.prowersmedical.com/wp-content/uploads/840584583_PROWERS-MEDICAL-CENTER_STANDARDCHARGES.csv,https://www.prowersmedical.com/cms-hpt.txt,https://www.prowersmedical.com/chargemaster-files/,Prowers Medical Center,2026-09-09T01:43:17.910Z,153c83c89d9ada24f24cd71272612c1344f310a7555599efca2a6a5f28c7773d,1,206,csv,Prowers Medical Center,Prowers Medical Center,"401 Kendall Dr. Lamar, CO  81052",,mrf-header-has-no-license-state,,2025-01-01,2.0.0,date-over-365-days,2026-09-09T01:47:50.541Z,
061308,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,https://sanluis.pt.panaceainc.com/MRFDownload/sanluis/slvhealth,https://www.sanluisvalleyhealth.org/cms-hpt.txt,https://www.sanluisvalleyhealth.org/patient-center/price-transparency/,San Luis Valley Regional Medical Center,2026-09-09T01:43:17.562Z,84afdcd0fa54063cbe8f43c3661d4170108493f3351d06745962c6c1643bab33,0.5357142857142857,,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:50.577Z,socket hang up
061308,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,https://sanluis.pt.panaceainc.com/MRFDownload/sanluis/slvconejos,https://www.sanluisvalleyhealth.org/cms-hpt.txt,https://www.sanluisvalleyhealth.org/patient-center/price-transparency/,Conejos County Hospital,2026-09-09T01:43:17.562Z,84afdcd0fa54063cbe8f43c3661d4170108493f3351d06745962c6c1643bab33,0.4107142857142857,200,csv,San Luis Valley Health,San Luis CCH,"19021 Us Hwy 285, La Jara CO 81101",CO,mrf-header-does-not-match-unresolved-roster,,2026-03-26,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:50.717Z,
061311,SOUTHEAST COLORADO HOSPITAL DISTRICT,https://secure.claraprice.net/price-transparency/5f8756768b/machine-readable/840592527_southeast-colorado-hospital-district_standardcharges.json,https://www.sechosp.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/southeast-colorado,Southeast Colorado Hospital District,2026-09-09T01:43:17.796Z,060617dba3fb4b62ff1e3785d53ac32a00601322813d45d3be56f2d94d0a1537,1,200,json,Southeast Colorado Hospital District,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:50.738Z,
061327,SOUTHWEST MEMORIAL HOSPITAL,https://secure.claraprice.net/price-transparency/5f7b80d31f/machine-readable/841337350_southwest-health-system_standardcharges.json,http://www.swhealth.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/southwest-health,Southwest Health System,2026-09-09T01:43:17.644Z,6f89b009e6ffdb9f1d1ca821f096b4f3f348819f596d6443012cee415c28bde7,0.625,200,json,Southwest Health System,,,,mrf-header-has-no-license-state,,,,date-unverified,2026-09-09T01:47:50.840Z,
060022,UCH-MEMORIAL HEALTH SYSTEM,https://sthpiprd.blob.core.windows.net/machine-readable-files/8076/460796114-1144397134_uchmhs_standardcharges.csv,https://www.uchealth.org/cms-hpt.txt,https://search.hospitalpriceindex.com/hpi2/machineReadable/MemorialHospitalCentral/8076,UCHealth Memorial Hospital Central,2026-09-09T01:43:17.414Z,2659c14ffc301c5d4301620caebaf1690047f054a95b8c270e7902557b253465,0.11538461538461538,206,csv,UCHMHS,UCHealth Memorial Hospital Central,"1400 E. Boulder Street, Colorado Springs, CO 80909",CO,mrf-header-does-not-match-unresolved-roster,,2025-11-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:50.855Z,
060022,UCH-MEMORIAL HEALTH SYSTEM,https://sthpiprd.blob.core.windows.net/machine-readable-files/8077/460796114-1750940987_uchmhs_standardcharges.csv,https://www.uchealth.org/cms-hpt.txt,https://search.hospitalpriceindex.com/hpi2/machineReadable/MemorialHospitalNorth/8077,UCHealth Memorial Hospital North,2026-09-09T01:43:17.414Z,2659c14ffc301c5d4301620caebaf1690047f054a95b8c270e7902557b253465,0.11538461538461538,206,csv,UCHMHS,UCHealth Memorial Hospital North,"4050 Briargate Parkway, Colorado Springs, CO 80920",CO,mrf-header-does-not-match-unresolved-roster,,2025-11-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:50.905Z,
060022,UCH-MEMORIAL HEALTH SYSTEM,https://sthpiprd.blob.core.windows.net/machine-readable-files/8075/840398876_yampa-valley-medical-center_standardcharges.csv,https://www.uchealth.org/cms-hpt.txt,https://search.hospitalpriceindex.com/hpi2/machineReadable/YampaValleyMedicalCenter/8075,UCHealth Yampa Valley Medical Center,2026-09-09T01:43:17.414Z,2659c14ffc301c5d4301620caebaf1690047f054a95b8c270e7902557b253465,0,206,csv,Yampa Valley Medical Center,UCHealth Yampa Valley Medical Center,"1024 Central Park Drive, Steamboat Springs, CO 80487",CO,mrf-header-identity-and-location-agree,,2025-11-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:57.194Z,
070010,BRIDGEPORT HOSPITAL,https://www.bridgeporthospital.org/-/media/Files/YNHHS/sc/06-0646554-Bridgeport-Hospital_standard_charges-1.ashx,https://www.bridgeporthospital.org/BHAssets/cms-hpt.txt,https://www.bridgeporthospital.org/patients-visitors/billing-insurance/Pricing,Milford Hospital,2026-09-09T01:43:18.023Z,0fc482dd0e90d02f2892b036182c940ae48c2a922c9d11124018fab4163d18b9,0.23076923076923075,,,,,,,mrf-header-unreachable,,,,date-unverified,2026-09-09T01:47:50.910Z,request timeout
070025,HARTFORD HOSPITAL,https://hartfordhealthcare.org/file%20library/price%20data/060250773_the_william_w_backus_hospital_standardcharges.csv,,https://hartfordhealthcare.org/patients-visitors/patients/price-transparency,Backus Hospital,,,0,200,csv,THE WILLIAM W BACKUS HOSPITAL,BACKUS HOSPITAL|PLAINFIELD EMERGENCY CARE CENTER,"326 WASHINGTON ST, NORWICH, CT 06360|582 NORWICH RD, PLAINFIELD, CT 06374",CT,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:50.997Z,
070025,HARTFORD HOSPITAL,https://hartfordhealthcare.org/file%20library/price%20data/060646678_charlotte_hungerford_hospital_standardcharges.csv,,https://hartfordhealthcare.org/patients-visitors/patients/price-transparency,Charlotte Hungerford Hospital,,,0,200,csv,THE CHARLOTTE HUNGERFORD HOSPITAL,CHARLOTTE HUNGERFORD HOSPITAL,"540 LITCHFIELD ST, TORRINGTON, CT 06790",CT,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:51.031Z,
070025,HARTFORD HOSPITAL,https://hartfordhealthcare.org/file%20library/price%20data/060646668_hartford_hospital_standardcharges.csv,,https://hartfordhealthcare.org/patients-visitors/patients/price-transparency,Hartford Hospital/Institute of Living,,,0,200,csv,HARTFORD HOSPITAL,HARTFORD HOSPITAL,"80 SEYMOUR ST, HARTFORD, CT 06102",CT,corroborated,file-name-and-address,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:51.208Z,
070025,HARTFORD HOSPITAL,https://hartfordhealthcare.org/file%20library/price%20data/060646768_the_hospital_of_central_connecticut_standardcharges.csv,,https://hartfordhealthcare.org/patients-visitors/patients/price-transparency,Hospital of Central Connecticut,,,0,200,csv,HOSPITAL OF CENTRAL CONNECTICUT AT NEW BRITAIN D/B/A THE HOSPITAL OF CENTRAL CONNECTICUT,NEW BRITAIN GENERAL CAMPUS|BRADLEY MEMORIAL CAMPUS,"100 GRAND ST, NEW BRITAIN, CT 06052|81 MERIDEN AVE, SOUTHINGTON, CT 06489",CT,mrf-header-identity-and-location-agree,,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T01:47:51.288Z,
