ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at,recorded_pointer_url,recorded_mrf_url,queue,next_action,evidence_file,evidence_key
100330,HALIFAX HEALTH /UF HEALTH MEDICAL CENTER OF DELTON,FL,compliant-date-unverified,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://halifaxhealth.org/cms-hpt.txt,,,,,2026-09-09T01:43:28.258Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,100330
100131,HCA FLORIDA AVENTURA HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100131
100256,HCA FLORIDA BAYONET POINT HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100256
100213,HCA FLORIDA BLAKE HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100213
100243,HCA FLORIDA BRANDON HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100243
100254,HCA FLORIDA CAPITAL HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100254
100023,HCA FLORIDA CITRUS HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100023
100267,HCA FLORIDA ENGLEWOOD HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100267
100236,HCA FLORIDA FAWCETT HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100236
100223,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100223
100242,HCA FLORIDA GULF COAST HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100242
100049,HCA FLORIDA HIGHLANDS HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100049
100080,HCA FLORIDA JFK HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100080
100209,HCA FLORIDA KENDALL HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100209
100156,HCA FLORIDA LAKE CITY HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100156
100248,HCA FLORIDA LARGO HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100248
100246,HCA FLORIDA LAWNWOOD HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100246
100179,HCA FLORIDA MEMORIAL HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100179
100167,HCA FLORIDA MERCY HOSPITAL,FL,mrf-blocked-to-automation,identity-quarantined,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Facility identity adjudication,The previous assignment is excluded. Resolve roster name/address or find an official pointer and file that corroborate this facility.,file-evidence.csv,100167
100204,HCA FLORIDA NORTH FLORIDA HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100204
100238,HCA FLORIDA NORTHSIDE HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100238
100189,HCA FLORIDA NORTHWEST HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100189
100264,HCA FLORIDA OAK HILL HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100264
100226,HCA FLORIDA ORANGE PARK HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100226
100110,HCA FLORIDA OSCEOLA HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100110
100269,HCA FLORIDA PALMS WEST HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100269
100126,HCA FLORIDA PASADENA HOSPITAL A PART OF HCA FLORID,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100126
100320,HCA FLORIDA POINCIANA HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100320
100232,HCA FLORIDA PUTNAM HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100232
100252,HCA FLORIDA RAULERSON HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100252
100166,HCA FLORIDA SARASOTA DOCTORS HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100166
100259,HCA FLORIDA SOUTH SHORE HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100259
100206,HCA FLORIDA SOUTH TAMPA HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100206
100180,HCA FLORIDA ST PETERSBURG HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100180
100191,HCA FLORIDA TRINITY HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100191
100054,HCA FLORIDA TWIN CITIES HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100054
100360,HCA FLORIDA UNIVERSITY HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100360
100231,HCA FLORIDA WEST HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100231
100053,HIALEAH HOSPITAL,FL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://hialeahhosp.org/cms-hpt.txt,https://hialeahhosp.org/pricetransparency/995053647_HialeahHospital_standardcharges.csv,2025-02-21,2.0.0,https://hialeahhosp.org/price-transparency/,2026-09-09T01:47:57.201Z,,,Publisher date review,Review the draft against the saved declared date; request the current file or clarification.,file-evidence.csv,100053
103300,JOHNS HOPKINS ALL CHILDREN'S HOSPITAL,FL,pointer-blocked-to-automation,pointer-or-domain-review,HTTP 403,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.526Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,103300
100253,JUPITER MEDICAL CENTER,FL,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://www.jupitermed.com/cms-hpt.txt,https://www.jupitermed.com/documents/content/59-1460239_jupiter-medical-center_standardcharges.csv,2025-10-01,2.2.0,https://www.jupitermed.com/patients-visitors/for-patients/billing-financial-information/hospital-pricing/,2026-09-09T01:47:57.478Z,,,Publisher metadata review,Review the draft against the saved header and current CMS data dictionary; request the current file or clarification.,file-evidence.csv,100253
101303,LAKE BUTLER HOSPITAL,FL,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 202,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.686Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,101303
100299,LAKEWOOD RANCH MEDICAL CENTER,FL,pointer-blocked-to-automation,pointer-or-domain-review,HTTP 403,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:29.601Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100299
100012,LEE MEMORIAL HOSPITAL,FL,mrf-blocked-to-automation,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://www.leehealth.org/cms-hpt.txt,,,,,2026-09-09T01:43:18.364Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,100012
104084,NEUROBEHAVIORAL HOSPITAL OF THE PALM BEACHES-NORTH,FL,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://nbhospitals.com/cms-hpt.txt,https://nbhospitals.com/standard-services/Pricing-guidelinesNeuro.csv,2026-01-01,1,https://nbhospitals.com/cms-standard-services/,2026-09-09T01:47:59.628Z,,,Publisher metadata review,Review the draft against the saved header and current CMS data dictionary; request the current file or clarification.,file-evidence.csv,104084
104085,NEUROBEHAVIORAL HOSPITAL OF THE PALM BEACHES-SOUTH,FL,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://nbhospitals.com/cms-hpt.txt,https://nbhospitals.com/standard-services/Pricing-guidelinesNeuro.csv,2026-01-01,1,https://nbhospitals.com/cms-standard-services/,2026-09-09T01:47:59.628Z,,,Publisher metadata review,Review the draft against the saved header and current CMS data dictionary; request the current file or clarification.,file-evidence.csv,104085
100029,NORTH SHORE MEDICAL CENTER,FL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://northshoremc.org/cms-hpt.txt,https://northshoremc.org/pricetransparency/995020733_NorthShoreMedicalCenter_standardcharges.csv,2025-02-21,2.0.0,https://northshoremc.org/price-transparency/,2026-09-09T01:47:59.636Z,,,Publisher date review,Review the draft against the saved declared date; request the current file or clarification.,file-evidence.csv,100029
104007,NORTHEAST FLORIDA STATE HOSPITAL,FL,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.429Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,104007
100329,OVIEDO MEDICAL CENTER,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100329
100187,PALMETTO GENERAL HOSPITAL,FL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://palmettogeneral.org/cms-hpt.txt,https://palmettogeneral.org/pricetransparency/995002378_PalmettoGeneralHospital_standardcharges.csv,2025-02-20,2.0.0,https://palmettogeneral.org/price-transparency/,2026-09-09T01:47:59.720Z,,,Publisher date review,Review the draft against the saved declared date; request the current file or clarification.,file-evidence.csv,100187
100067,ST ANTHONYS HOSPITAL,FL,mrf-url-unreachable,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://baycare.org/cms-hpt.txt,,,,,2026-09-09T01:43:29.863Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,100067
100135,TALLAHASSEE MEMORIAL HEALTHCARE,FL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.tmh.org/sites/default/files/price-transparency/cms-hpt.txt,https://www.tmh.org/sites/default/files/price-transparency/591917016_tallahassee-memorial-hospital_standardcharges.csv,2025-05-15,2.0.0,https://www.tmh.org/patients-and-visitors/billing-and-financial-assistance-information#standardrates,2026-09-09T01:48:00.044Z,,,Publisher date review,Review the draft against the saved declared date; request the current file or clarification.,file-evidence.csv,100135
100071,TAMPA GENERAL HOSPITAL BROOKSVILLE,FL,mrf-url-unreachable,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://www.tgh.org/cms-hpt.txt,,,,,2026-09-09T01:43:30.297Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,100071
100249,TAMPA GENERAL HOSPITAL CRYSTAL RIVER,FL,mrf-url-unreachable,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://www.tgh.org/cms-hpt.txt,,,,,2026-09-09T01:43:30.297Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,100249
100350,UCF LAKE NONA HOSPITAL,FL,mrf-blocked-to-automation,pointer-or-domain-review,HTTP request deadline exceeded,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:28.621Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100350
100275,WELLINGTON REGIONAL MEDICAL CENTER,FL,pointer-blocked-to-automation,pointer-or-domain-review,HTTP 403,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:29.907Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,100275
113300,ATHUR M BLANK HOSPITAL,GA,not-assessed-site-unreachable,pointer-or-domain-review,HTTP getaddrinfo ENOTFOUND choaassets.choa.org,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:29.845Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,113300
110024,CANDLER HOSPITAL,GA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.sjchs.org/cms-hpt.txt,https://www.sjchs.org/docs/default-source/default-document-library/580593388_candler-hospital_standardcharges293f9cd3-a627-4d74-aabc-b691b192010e.json,2025-07-01,2.2.0,https://www.sjchs.org/pay-my-bill,2026-09-09T01:48:00.077Z,,,Publisher date review,Review the draft against the saved declared date; request the current file or clarification.,file-evidence.csv,110024
113301,CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,GA,not-assessed-site-unreachable,pointer-or-domain-review,HTTP getaddrinfo ENOTFOUND choaassets.choa.org,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:29.845Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,113301
110236,COMMONSPIRIT-MEMORIAL HOSPITAL-NORTH GEORGIA,GA,not-assessed-not-named-in-file,identity-or-format-review,host returned pointer,entries retrieved,unresolved,response received,unverified,https://www.commonspirit.org/cms-hpt.txt,,,,,2026-09-09T01:43:17.275Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,110236
110194,DONALSONVILLE HOSPITAL INC,GA,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 202,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:30.157Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,110194
111337,ELBERT MEMORIAL HOSPITAL,GA,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 202,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:30.377Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,111337
111314,LIFEBRITE COMMUNITY HOSPITAL OF EARLY,GA,not-assessed-not-named-in-file,identity-or-format-review,host returned pointer,entries retrieved,unresolved,response received,unverified,https://www2.novanthealth.org/Public_Files/regulatory/cms-hpt.txt,,,,,2026-09-09T01:43:30.414Z,,,Identity / parser review,"Compare the file header with roster name, address and license state. Inspect archive contents or metadata beyond the capped header if extraction is incomplete.",file-evidence.csv,111314
110128,MEMORIAL HEALTH MEADOWS HOSPITAL,GA,mrf-url-unreachable,pointer-or-domain-review,HTTP 200,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:40.701Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,110128
111318,MONROE COUNTY HOSPITAL,GA,no-cms-hpt-txt-published,pointer-or-domain-review,HTTP 202,not retrieved,unresolved,unresolved,unverified,,,,,,2026-09-09T01:43:30.498Z,,,Browser / official-domain review,Open the recorded pointer and official homepage in a browser. Follow the official pricing page; record redirects and exact response. Verify a replacement domain against first-party facility identity before assigning it.,file-evidence.csv,111318
110161,NORTHSIDE HOSPITAL,GA,mrf-blocked-to-automation,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://www.northside.com/cms-hpt.txt,,,,,2026-09-09T01:43:30.653Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,110161
110008,NORTHSIDE HOSPITAL CHEROKEE,GA,mrf-blocked-to-automation,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://www.northside.com/cms-hpt.txt,,,,,2026-09-09T01:43:30.653Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,110008
110252,NORTHSIDE HOSPITAL DULUTH,GA,mrf-blocked-to-automation,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://www.northside.com/cms-hpt.txt,,,,,2026-09-09T01:43:30.653Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,110252
110005,NORTHSIDE HOSPITAL FORSYTH,GA,mrf-blocked-to-automation,file-access-review,host returned pointer,entries retrieved,unresolved,unresolved,unverified,https://www.northside.com/cms-hpt.txt,,,,,2026-09-09T01:43:30.653Z,,,Browser file retrieval,"Open the pointer-declared file in a browser. Record the final URL, status and download evidence. A failed automated request alone does not establish that the file is unavailable.",file-evidence.csv,110005
